,observationunitname,observationunitdbid,studydbid,germplasmdbid,germplasmpui,germplasmname,studyname,observationlevel,replicate,replicate.1,plot,plant,x,y,observationlevels,water_regime,GN,KW,MFLW_D20deg,FFLW_D20deg,GY_Adj_tha,plant_height,tassel_height,ear_height,ASI_D20deg,season,Tnight_Early,Tnight_Flo,Tnight_Fill,Ri_Early,Ri_Flo,Ri_Fill,Psi_Flo,Psi_Fill,Tmax_Early,Tmax_Flo,Tmax_Fill,TnbL,L10,L12,W10,W12,L11,L13,W11,W13,L14,W14,L15,W15,L9,W9
25,NXN2LAV3013037,3361688,Ner12,127400,https://doi.org/10.15454/P5UIAJ,B73_H,Biogemma Nerac 2012,REPLICATE>BLOCK>PLOT,,,NXN2LAV3013037,,20.0,9.0,"REPLICATE>BLOCK>PLOT:NXN2LAV3013037,REPLICATE>BLOCK:23,REPLICATE:2",watered,4493.4640522876,238.1294117647,"68,7503943227","70,1020957105",10.7002595156,265,NA,130,"-1,35170138780",2012,,,,,,,,,,,,,,,,,,,,,,,,,,
26,NXN2LAV3008022,3361686,Ner12,127400,https://doi.org/10.15454/P5UIAJ,B73_H,Biogemma Nerac 2012,REPLICATE>BLOCK>PLOT,,,NXN2LAV3008022,,5.0,14.0,"REPLICATE>BLOCK>PLOT:NXN2LAV3008022,REPLICATE>BLOCK:14,REPLICATE:1",watered,4334.3591803187,254.5132941176,"70,1020957105","71,3778600686",11.0315203287,240,NA,130,"-1,27576435810",2012,,,,,,,,,,,,,,,,,,,,,,,,,,
27,8,3361505,Ner12,127400,https://doi.org/10.15454/P5UIAJ,B73_H,Biogemma Nerac 2012,REPLICATE>BLOCK>PLOT>PLANT,,,,8.0,,,"REPLICATE>BLOCK>PLOT>PLANT:8,REPLICATE>BLOCK>PLOT:NXN2LAV3019041,REPLICATE>BLOCK:24,REPLICATE>BLOCK:34,REPLICATE:1,REPLICATE:2,REPLICATE:2,REPLICATE:3,REPLICATE:2",watered,,,,,,,,,,2012,,,,,,,,,,,,15,96,81,9,10,,,,,,,,,,
28,16,3361513,Ner12,127400,https://doi.org/10.15454/P5UIAJ,B73_H,Biogemma Nerac 2012,REPLICATE>BLOCK>PLOT>PLANT,,,,16.0,,,"REPLICATE>BLOCK>PLOT>PLANT:16,REPLICATE>BLOCK>PLOT:NXN2LAV3019041,REPLICATE>BLOCK:24,REPLICATE>BLOCK:34,REPLICATE:1,REPLICATE:2,REPLICATE:2,REPLICATE:3,REPLICATE:2",watered,,,,,,,,,,2012,,,,,,,,,,,,15,,,,,90,72,10,8,,,,,,
29,19,3361516,Ner12,127400,https://doi.org/10.15454/P5UIAJ,B73_H,Biogemma Nerac 2012,REPLICATE>BLOCK>PLOT>PLANT,,,,19.0,,,"REPLICATE>BLOCK>PLOT>PLANT:19,REPLICATE>BLOCK>PLOT:NXN2LAV3019041,REPLICATE>BLOCK:24,REPLICATE>BLOCK:34,REPLICATE:1,REPLICATE:2,REPLICATE:2,REPLICATE:3,REPLICATE:2",watered,,,,,,,,,,2012,,,,,,,,,,,,16,,,,,95,87,7.5,7.5,,,,,,
30,11,3361510,Ner12,127400,https://doi.org/10.15454/P5UIAJ,B73_H,Biogemma Nerac 2012,REPLICATE>BLOCK>PLOT>PLANT,,,,11.0,,,"REPLICATE>BLOCK>PLOT>PLANT:11,REPLICATE>BLOCK>PLOT:NXN2LAV3019041,REPLICATE>BLOCK:24,REPLICATE>BLOCK:34,REPLICATE:1,REPLICATE:2,REPLICATE:2,REPLICATE:3,REPLICATE:2",watered,,,,,,,,,,2012,,,,,,,,,,,,16,,,,,94,74,9,8,,,,,,
31,15,3361512,Ner12,127400,https://doi.org/10.15454/P5UIAJ,B73_H,Biogemma Nerac 2012,REPLICATE>BLOCK>PLOT>PLANT,,,,15.0,,,"REPLICATE>BLOCK>PLOT>PLANT:15,REPLICATE>BLOCK>PLOT:NXN2LAV3019041,REPLICATE>BLOCK:24,REPLICATE>BLOCK:34,REPLICATE:1,REPLICATE:2,REPLICATE:2,REPLICATE:3,REPLICATE:2",watered,,,,,,,,,,2012,,,,,,,,,,,,15,,,,,98,80,9,9,,,,,,
32,4,3361502,Ner12,127400,https://doi.org/10.15454/P5UIAJ,B73_H,Biogemma Nerac 2012,REPLICATE>BLOCK>PLOT>PLANT,,,,4.0,,,"REPLICATE>BLOCK>PLOT>PLANT:4,REPLICATE>BLOCK>PLOT:NXN2LAV3019041,REPLICATE>BLOCK:24,REPLICATE>BLOCK:34,REPLICATE:1,REPLICATE:2,REPLICATE:2,REPLICATE:3,REPLICATE:2",watered,,,,,,,,,,2012,,,,,,,,,,,,15,82,61,7,7.5,,,,,,,,,,
33,1,3361497,Ner12,127400,https://doi.org/10.15454/P5UIAJ,B73_H,Biogemma Nerac 2012,REPLICATE>BLOCK>PLOT>PLANT,,,,1.0,,,"REPLICATE>BLOCK>PLOT>PLANT:1,REPLICATE>BLOCK>PLOT:NXN2LAV3019041,REPLICATE>BLOCK:24,REPLICATE>BLOCK:34,REPLICATE:1,REPLICATE:2,REPLICATE:2,REPLICATE:3,REPLICATE:2",watered,,,,,,,,,,2012,,,,,,,,,,,,15,96,83,9,10,,,,,,,,,,
34,12,3361518,Ner12,127400,https://doi.org/10.15454/P5UIAJ,B73_H,Biogemma Nerac 2012,REPLICATE>BLOCK>PLOT>PLANT,,,,12.0,,,"REPLICATE>BLOCK>PLOT>PLANT:12,REPLICATE>BLOCK>PLOT:NXN2LAV3019041,REPLICATE>BLOCK:24,REPLICATE>BLOCK:34,REPLICATE:1,REPLICATE:2,REPLICATE:2,REPLICATE:3,REPLICATE:2",watered,,,,,,,,,,2012,,,,,,,,,,,,17,,88,,8,,,,,70,8,,,,
35,18,3361515,Ner12,127400,https://doi.org/10.15454/P5UIAJ,B73_H,Biogemma Nerac 2012,REPLICATE>BLOCK>PLOT>PLANT,,,,18.0,,,"REPLICATE>BLOCK>PLOT>PLANT:18,REPLICATE>BLOCK>PLOT:NXN2LAV3019041,REPLICATE>BLOCK:24,REPLICATE>BLOCK:34,REPLICATE:1,REPLICATE:2,REPLICATE:2,REPLICATE:3,REPLICATE:2",watered,,,,,,,,,,2012,,,,,,,,,,,,16,,,,,84,66,7.5,7,,,,,,
36,7,3361509,Ner12,127400,https://doi.org/10.15454/P5UIAJ,B73_H,Biogemma Nerac 2012,REPLICATE>BLOCK>PLOT>PLANT,,,,7.0,,,"REPLICATE>BLOCK>PLOT>PLANT:7,REPLICATE>BLOCK>PLOT:NXN2LAV3019041,REPLICATE>BLOCK:24,REPLICATE>BLOCK:34,REPLICATE:1,REPLICATE:2,REPLICATE:2,REPLICATE:3,REPLICATE:2",watered,,,,,,,,,,2012,,,,,,,,,,,,15,,,,,97,80,10,9.5,,,,,,
37,10,3361507,Ner12,127400,https://doi.org/10.15454/P5UIAJ,B73_H,Biogemma Nerac 2012,REPLICATE>BLOCK>PLOT>PLANT,,,,10.0,,,"REPLICATE>BLOCK>PLOT>PLANT:10,REPLICATE>BLOCK>PLOT:NXN2LAV3019041,REPLICATE>BLOCK:24,REPLICATE>BLOCK:34,REPLICATE:1,REPLICATE:2,REPLICATE:2,REPLICATE:3,REPLICATE:2",watered,,,,,,,,,,2012,,,,,,,,,,,,15,100,97,10,10.5,,,,,,,,,,
38,3,3361508,Ner12,127400,https://doi.org/10.15454/P5UIAJ,B73_H,Biogemma Nerac 2012,REPLICATE>BLOCK>PLOT>PLANT,,,,3.0,,,"REPLICATE>BLOCK>PLOT>PLANT:3,REPLICATE>BLOCK>PLOT:NXN2LAV3019041,REPLICATE>BLOCK:24,REPLICATE>BLOCK:34,REPLICATE:1,REPLICATE:2,REPLICATE:2,REPLICATE:3,REPLICATE:2",watered,,,,,,,,,,2012,,,,,,,,,,,,15,,,,,84,69,8.5,8,,,,,,
39,17,3361514,Ner12,127400,https://doi.org/10.15454/P5UIAJ,B73_H,Biogemma Nerac 2012,REPLICATE>BLOCK>PLOT>PLANT,,,,17.0,,,"REPLICATE>BLOCK>PLOT>PLANT:17,REPLICATE>BLOCK>PLOT:NXN2LAV3019041,REPLICATE>BLOCK:24,REPLICATE>BLOCK:34,REPLICATE:1,REPLICATE:2,REPLICATE:2,REPLICATE:3,REPLICATE:2",watered,,,,,,,,,,2012,,,,,,,,,,,,16,,,,,99,84,8.5,9.5,,,,,,
40,14,3361511,Ner12,127400,https://doi.org/10.15454/P5UIAJ,B73_H,Biogemma Nerac 2012,REPLICATE>BLOCK>PLOT>PLANT,,,,14.0,,,"REPLICATE>BLOCK>PLOT>PLANT:14,REPLICATE>BLOCK>PLOT:NXN2LAV3019041,REPLICATE>BLOCK:24,REPLICATE>BLOCK:34,REPLICATE:1,REPLICATE:2,REPLICATE:2,REPLICATE:3,REPLICATE:2",watered,,,,,,,,,,2012,,,,,,,,,,,,16,,,,,83,66,7,7,,,,,,
41,6,3361504,Ner12,127400,https://doi.org/10.15454/P5UIAJ,B73_H,Biogemma Nerac 2012,REPLICATE>BLOCK>PLOT>PLANT,,,,6.0,,,"REPLICATE>BLOCK>PLOT>PLANT:6,REPLICATE>BLOCK>PLOT:NXN2LAV3019041,REPLICATE>BLOCK:24,REPLICATE>BLOCK:34,REPLICATE:1,REPLICATE:2,REPLICATE:2,REPLICATE:3,REPLICATE:2",watered,,,,,,,,,,2012,,,,,,,,,,,,15,99,89,8,9,,,,,,,,,,
42,9,3361506,Ner12,127400,https://doi.org/10.15454/P5UIAJ,B73_H,Biogemma Nerac 2012,REPLICATE>BLOCK>PLOT>PLANT,,,,9.0,,,"REPLICATE>BLOCK>PLOT>PLANT:9,REPLICATE>BLOCK>PLOT:NXN2LAV3019041,REPLICATE>BLOCK:24,REPLICATE>BLOCK:34,REPLICATE:1,REPLICATE:2,REPLICATE:2,REPLICATE:3,REPLICATE:2",watered,,,,,,,,,,2012,,,,,,,,,,,,15,95,89,9,9,,,,,,,,,,
43,13,3361519,Ner12,127400,https://doi.org/10.15454/P5UIAJ,B73_H,Biogemma Nerac 2012,REPLICATE>BLOCK>PLOT>PLANT,,,,13.0,,,"REPLICATE>BLOCK>PLOT>PLANT:13,REPLICATE>BLOCK>PLOT:NXN2LAV3019041,REPLICATE>BLOCK:24,REPLICATE>BLOCK:34,REPLICATE:1,REPLICATE:2,REPLICATE:2,REPLICATE:3,REPLICATE:2",watered,,,,,,,,,,2012,,,,,,,,,,,,17,,78,,5.5,,,,,50,5.5,,,,
44,5,3361503,Ner12,127400,https://doi.org/10.15454/P5UIAJ,B73_H,Biogemma Nerac 2012,REPLICATE>BLOCK>PLOT>PLANT,,,,5.0,,,"REPLICATE>BLOCK>PLOT>PLANT:5,REPLICATE>BLOCK>PLOT:NXN2LAV3019041,REPLICATE>BLOCK:24,REPLICATE>BLOCK:34,REPLICATE:1,REPLICATE:2,REPLICATE:2,REPLICATE:3,REPLICATE:2",watered,,,,,,,,,,2012,,,,,,,,,,,,15,92,82,8.5,9,,,,,,,,,,
45,2,3361501,Ner12,127400,https://doi.org/10.15454/P5UIAJ,B73_H,Biogemma Nerac 2012,REPLICATE>BLOCK>PLOT>PLANT,,,,2.0,,,"REPLICATE>BLOCK>PLOT>PLANT:2,REPLICATE>BLOCK>PLOT:NXN2LAV3019041,REPLICATE>BLOCK:24,REPLICATE>BLOCK:34,REPLICATE:1,REPLICATE:2,REPLICATE:2,REPLICATE:3,REPLICATE:2",watered,,,,,,,,,,2012,,,,,,,,,,,,15,93,83,8,8,,,,,,,,,,
46,20,3361517,Ner12,127400,https://doi.org/10.15454/P5UIAJ,B73_H,Biogemma Nerac 2012,REPLICATE>BLOCK>PLOT>PLANT,,,,20.0,,,"REPLICATE>BLOCK>PLOT>PLANT:20,REPLICATE>BLOCK>PLOT:NXN2LAV3019041,REPLICATE>BLOCK:24,REPLICATE>BLOCK:34,REPLICATE:1,REPLICATE:2,REPLICATE:2,REPLICATE:3,REPLICATE:2",watered,,,,,,,,,,2012,,,,,,,,,,,,16,,,,,79,58,6.5,6,,,,,,
47,8,3361482,Ner12,127400,https://doi.org/10.15454/P5UIAJ,B73_H,Biogemma Nerac 2012,REPLICATE>BLOCK>PLOT>PLANT,,,,8.0,,,"REPLICATE>BLOCK>PLOT>PLANT:8,REPLICATE>BLOCK>PLOT:NXN2LAV3009026,REPLICATE>BLOCK:9,REPLICATE>BLOCK:26,REPLICATE:1,REPLICATE:2,REPLICATE:1,REPLICATE:3,REPLICATE:1",watered,,,,,,,,,,2012,,,,,,,,,,,,15,93,90,9,9,,,,,,,,,,
48,16,3361486,Ner12,127400,https://doi.org/10.15454/P5UIAJ,B73_H,Biogemma Nerac 2012,REPLICATE>BLOCK>PLOT>PLANT,,,,16.0,,,"REPLICATE>BLOCK>PLOT>PLANT:16,REPLICATE>BLOCK>PLOT:NXN2LAV3009026,REPLICATE>BLOCK:9,REPLICATE>BLOCK:26,REPLICATE:1,REPLICATE:2,REPLICATE:1,REPLICATE:3,REPLICATE:1",watered,,,,,,,,,,2012,,,,,,,,,,,,15,90,80,8,9,,,,,,,,,,
49,19,3361495,Ner12,127400,https://doi.org/10.15454/P5UIAJ,B73_H,Biogemma Nerac 2012,REPLICATE>BLOCK>PLOT>PLANT,,,,19.0,,,"REPLICATE>BLOCK>PLOT>PLANT:19,REPLICATE>BLOCK>PLOT:NXN2LAV3009026,REPLICATE>BLOCK:9,REPLICATE>BLOCK:26,REPLICATE:1,REPLICATE:2,REPLICATE:1,REPLICATE:3,REPLICATE:1",watered,,,,,,,,,,2012,,,,,,,,,,,,16,,,,,91,72,9.5,8.5,,,,,,
50,11,3361493,Ner12,127400,https://doi.org/10.15454/P5UIAJ,B73_H,Biogemma Nerac 2012,REPLICATE>BLOCK>PLOT>PLANT,,,,11.0,,,"REPLICATE>BLOCK>PLOT>PLANT:11,REPLICATE>BLOCK>PLOT:NXN2LAV3009026,REPLICATE>BLOCK:9,REPLICATE>BLOCK:26,REPLICATE:1,REPLICATE:2,REPLICATE:1,REPLICATE:3,REPLICATE:1",watered,,,,,,,,,,2012,,,,,,,,,,,,15,,,,,94,67,10,9,,,,,,
51,15,3361485,Ner12,127400,https://doi.org/10.15454/P5UIAJ,B73_H,Biogemma Nerac 2012,REPLICATE>BLOCK>PLOT>PLANT,,,,15.0,,,"REPLICATE>BLOCK>PLOT>PLANT:15,REPLICATE>BLOCK>PLOT:NXN2LAV3009026,REPLICATE>BLOCK:9,REPLICATE>BLOCK:26,REPLICATE:1,REPLICATE:2,REPLICATE:1,REPLICATE:3,REPLICATE:1",watered,,,,,,,,,,2012,,,,,,,,,,,,15,98,87,9.5,11,,,,,,,,,,
52,4,3361480,Ner12,127400,https://doi.org/10.15454/P5UIAJ,B73_H,Biogemma Nerac 2012,REPLICATE>BLOCK>PLOT>PLANT,,,,4.0,,,"REPLICATE>BLOCK>PLOT>PLANT:4,REPLICATE>BLOCK>PLOT:NXN2LAV3009026,REPLICATE>BLOCK:9,REPLICATE>BLOCK:26,REPLICATE:1,REPLICATE:2,REPLICATE:1,REPLICATE:3,REPLICATE:1",watered,,,,,,,,,,2012,,,,,,,,,,,,15,93,87,9,10,,,,,,,,,,
