,observationunitname,observationunitdbid,studydbid,germplasmdbid,germplasmpui,germplasmname,studyname,observationlevel,replicate,replicate.1,plot,plant,x,y,observationlevels,water_regime,GN,KW,MFLW_D20deg,FFLW_D20deg,GY_Adj_tha,plant_height,tassel_height,ear_height,ASI_D20deg,season,Tnight_Early,Tnight_Flo,Tnight_Fill,Ri_Early,Ri_Flo,Ri_Fill,Psi_Flo,Psi_Fill,Tmax_Early,Tmax_Flo,Tmax_Fill,TnbL,L8,L10,L12,W8,W10,W12,Check,L9,L11,L13,W9,W11,W13,L14,W14
13,3078water_regimerainfed,3335104,Cam13,127474,https://doi.org/10.15454/GF4RQE,EP55_H,Syngenta Campagnola 2013,VIRTUAL_TRIAL,,,,,,,,rainfed,286.4320638421,71.6739151701,78.8897727412,204.5815674861,1451.8716164063,241.9263368296,98.2043267242,,,2013,22.4431305115,20.9206070815,14.6702454353,124.743,259.14,850.915,-70.5433333333,-15.5724637681,35.9894873869,35.8788204634,25.3062577163,,,,,,,,,,,,,,,,
14,FRI00406691,3348552,Cam13,127650,https://doi.org/10.15454/I2W4OZ,SGI061_H,Syngenta Campagnola 2013,REPLICATE>BLOCK>PLOT,,,FRI00406691,,16.0,27.0,"REPLICATE>BLOCK>PLOT:FRI00406691,REPLICATE>BLOCK:33,REPLICATE:2",watered,1921.2962962963,283.7082352941,"74,3289392431","76,0005825366",5.450875817,255,295,140,"-1,67164329350",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,FRI00406980,3348177,Cam13,127650,https://doi.org/10.15454/I2W4OZ,SGI061_H,Syngenta Campagnola 2013,REPLICATE>BLOCK>PLOT,,,FRI00406980,,5.0,8.0,"REPLICATE>BLOCK>PLOT:FRI00406980,REPLICATE>BLOCK:13,REPLICATE:1",watered,2181.7615935263,298.8,"76,0005825366","77,6996082396",6.5191036415,270,305,130,"-1,69902570300",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,FRI00407756,3347853,Cam13,127650,https://doi.org/10.15454/I2W4OZ,SGI061_H,Syngenta Campagnola 2013,REPLICATE>BLOCK>PLOT,,,FRI00407756,,13.0,33.0,"REPLICATE>BLOCK>PLOT:FRI00407756,REPLICATE>BLOCK:3,REPLICATE:3",rainfed,1914.6825396825,288.5270588235,"72,6945131971","77,6996082396",5.5243772176,200,240,90,"-5,00509504250",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,FRI00407842,3347754,Cam13,127650,https://doi.org/10.15454/I2W4OZ,SGI061_H,Syngenta Campagnola 2013,REPLICATE>BLOCK>PLOT,,,FRI00407842,,10.0,31.0,"REPLICATE>BLOCK>PLOT:FRI00407842,REPLICATE>BLOCK:9,REPLICATE:2",rainfed,941.0430839002,240.9647058824,"69,6098426242","76,0005825366",2.2675816993,180,220,80,"-6,39073991240",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,FRI00408293,3347237,Cam13,127650,https://doi.org/10.15454/I2W4OZ,SGI061_H,Syngenta Campagnola 2013,REPLICATE>BLOCK>PLOT,,,FRI00408293,,2.0,28.0,"REPLICATE>BLOCK>PLOT:FRI00408293,REPLICATE>BLOCK:28,REPLICATE:1",rainfed,1752.6455026455,289.7317647059,"74,3289392431","79,5387303272",5.0779707439,195,235,100,"-5,20979108410",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,3256water_regimewatered,3335522,Cam13,127650,https://doi.org/10.15454/I2W4OZ,SGI061_H,Syngenta Campagnola 2013,VIRTUAL_TRIAL,,,,,,,,watered,330.4737751099,75.5115550601,77.0380146827,262.287221882,2058.2017170315,299.2722964748,133.8834656372,,,2013,22.3979183385,21.1858354943,14.7665018165,96.283,188.851,873.79,-18.1314102564,-37.3936170213,35.8423494969,36.0066586461,25.5363010218,,,,,,,,,,,,,,,,
20,3256water_regimerainfed,3335276,Cam13,127650,https://doi.org/10.15454/I2W4OZ,SGI061_H,Syngenta Campagnola 2013,VIRTUAL_TRIAL,,,,,,,,rainfed,306.4239297507,72.0329250164,77.7399240093,193.137319511,1525.6001689924,231.757280172,89.9449552156,,,2013,22.3979183385,21.0485100604,14.734601264,96.283,259.14,850.915,-68.3024691358,-15.5724637681,35.8423494969,35.9391425583,25.4345666306,,,,,,,,,,,,,,,,
21,FRI00406769,3348434,Cam13,127651,https://doi.org/10.15454/ZSEK9Q,B14a_H,Syngenta Campagnola 2013,REPLICATE>BLOCK>PLOT,,,FRI00406769,,13.0,8.0,"REPLICATE>BLOCK>PLOT:FRI00406769,REPLICATE>BLOCK:12,REPLICATE:2",watered,1916.5196942975,307.44,"76,0005825366","77,6996082396",5.8921481481,260,300,135,"-1,69902570300",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,FRI00406892,3348293,Cam13,127651,https://doi.org/10.15454/ZSEK9Q,B14a_H,Syngenta Campagnola 2013,REPLICATE>BLOCK>PLOT,,,FRI00406892,,8.0,25.0,"REPLICATE>BLOCK>PLOT:FRI00406892,REPLICATE>BLOCK:34,REPLICATE:1",watered,1665.1104886399,304,"76,0005825366","77,6996082396",5.0619358855,250,280,130,"-1,69902570300",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,FRI00407797,3347806,Cam13,127651,https://doi.org/10.15454/ZSEK9Q,B14a_H,Syngenta Campagnola 2013,REPLICATE>BLOCK>PLOT,,,FRI00407797,,11.0,48.0,"REPLICATE>BLOCK>PLOT:FRI00407797,REPLICATE>BLOCK:19,REPLICATE:3",rainfed,1086.4197530864,265.6941176471,"72,6945131971","81,1066458669",2.8865533769,200,240,90,"-8,41213266980",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,FRI00408053,3347257,Cam13,127651,https://doi.org/10.15454/ZSEK9Q,B14a_H,Syngenta Campagnola 2013,REPLICATE>BLOCK>PLOT,,,FRI00408053,,2.0,44.0,"REPLICATE>BLOCK>PLOT:FRI00408053,REPLICATE>BLOCK:19,REPLICATE:2",rainfed,1016.6288737717,244.2917647059,"76,0005825366","82,6789937723",2.4835406162,190,230,95,"-6,67841123570",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,FRI00408097,3347655,Cam13,127651,https://doi.org/10.15454/ZSEK9Q,B14a_H,Syngenta Campagnola 2013,REPLICATE>BLOCK>PLOT,,,FRI00408097,,9.0,1.0,"REPLICATE>BLOCK>PLOT:FRI00408097,REPLICATE>BLOCK:8,REPLICATE:1",rainfed,1197.08994709,289.1670588235,"72,6945131971","84,1900312481",3.4615897915,205,240,95,"-11,49551805100",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,FRI00406807,3348391,Cam13,127652,https://doi.org/10.15454/WPUFWH,F816_H,Syngenta Campagnola 2013,REPLICATE>BLOCK>PLOT,,,FRI00406807,,11.0,26.0,"REPLICATE>BLOCK>PLOT:FRI00406807,REPLICATE>BLOCK:28,REPLICATE:2",watered,1549.088771311,311.4635294118,"69,6098426242","72,6945131971",4.8248465608,225,260,120,"-3,08467057290",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,FRI00406864,3348301,Cam13,127652,https://doi.org/10.15454/WPUFWH,F816_H,Syngenta Campagnola 2013,REPLICATE>BLOCK>PLOT,,,FRI00406864,,9.0,4.0,"REPLICATE>BLOCK>PLOT:FRI00406864,REPLICATE>BLOCK:8,REPLICATE:1",watered,1198.25708061,293.4,"69,6098426242","72,6945131971",3.5156862745,230,275,130,"-3,08467057290",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,FRI00407809,3347792,Cam13,127652,https://doi.org/10.15454/WPUFWH,F816_H,Syngenta Campagnola 2013,REPLICATE>BLOCK>PLOT,,,FRI00407809,,11.0,36.0,"REPLICATE>BLOCK>PLOT:FRI00407809,REPLICATE>BLOCK:10,REPLICATE:3",rainfed,751.3227513228,262.2,"69,6098426242","77,6996082396",1.969968254,190,230,80,"-8,08976561540",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,FRI00408043,3347268,Cam13,127652,https://doi.org/10.15454/WPUFWH,F816_H,Syngenta Campagnola 2013,REPLICATE>BLOCK>PLOT,,,FRI00408043,,2.0,54.0,"REPLICATE>BLOCK>PLOT:FRI00408043,REPLICATE>BLOCK:28,REPLICATE:2",rainfed,1246.6931216931,276.0658823529,"72,6945131971","79,5387303272",3.4416943666,190,240,70,"-6,84421713010",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,FRI00408119,3347681,Cam13,127652,https://doi.org/10.15454/WPUFWH,F816_H,Syngenta Campagnola 2013,REPLICATE>BLOCK>PLOT,,,FRI00408119,,9.0,23.0,"REPLICATE>BLOCK>PLOT:FRI00408119,REPLICATE>BLOCK:35,REPLICATE:1",rainfed,1190.4761904762,248.9035294118,"72,6945131971","79,5387303272",2.9631372549,205,245,75,"-6,84421713010",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,FRI00406693,3348521,Cam13,127653,https://doi.org/10.15454/CHTSUF,NS501_H,Syngenta Campagnola 2013,REPLICATE>BLOCK>PLOT,,,FRI00406693,,15.0,28.0,"REPLICATE>BLOCK>PLOT:FRI00406693,REPLICATE>BLOCK:32,REPLICATE:2",watered,2037.037037037,309.7694117647,"71,1713602039","74,3289392431",6.3101176471,240,280,140,"-3,15757903920",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,FRI00407068,3348091,Cam13,127653,https://doi.org/10.15454/CHTSUF,NS501_H,Syngenta Campagnola 2013,REPLICATE>BLOCK>PLOT,,,FRI00407068,,2.0,17.0,"REPLICATE>BLOCK>PLOT:FRI00407068,REPLICATE>BLOCK:19,REPLICATE:1",watered,2166.0052910053,282.4282352941,"72,6945131971","74,3289392431",6.1174105198,265,295,130,"-1,63442604600",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,FRI00407627,3348000,Cam13,127653,https://doi.org/10.15454/CHTSUF,NS501_H,Syngenta Campagnola 2013,REPLICATE>BLOCK>PLOT,,,FRI00407627,,17.0,50.0,"REPLICATE>BLOCK>PLOT:FRI00407627,REPLICATE>BLOCK:34,REPLICATE:3",rainfed,1636.4323507181,255.5247058824,"71,1713602039","79,5387303272",4.1814889511,205,225,100,"-8,36737012330",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,FRI00408040,3347334,Cam13,127653,https://doi.org/10.15454/CHTSUF,NS501_H,Syngenta Campagnola 2013,REPLICATE>BLOCK>PLOT,,,FRI00408040,,3.0,56.0,"REPLICATE>BLOCK>PLOT:FRI00408040,REPLICATE>BLOCK:29,REPLICATE:2",rainfed,2360.6023606024,222.3764705882,"74,3289392431","81,1066458669",5.2494242141,210,250,110,"-6,77770662380",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,FRI00408091,3347725,Cam13,127653,https://doi.org/10.15454/CHTSUF,NS501_H,Syngenta Campagnola 2013,REPLICATE>BLOCK>PLOT,,,FRI00408091,,10.0,6.0,"REPLICATE>BLOCK>PLOT:FRI00408091,REPLICATE>BLOCK:9,REPLICATE:1",rainfed,1701.2617012617,232.1647058824,"71,1713602039","77,6996082396",3.949729225,200,240,100,"-6,52824803570",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,FRI00406799,3348420,Cam13,127654,https://doi.org/10.15454/UHHPBO,Pa35_H,Syngenta Campagnola 2013,REPLICATE>BLOCK>PLOT,,,FRI00406799,,12.0,23.0,"REPLICATE>BLOCK>PLOT:FRI00406799,REPLICATE>BLOCK:29,REPLICATE:2",watered,2060.1851851852,273.2047058824,"76,0005825366","77,6996082396",5.6285228758,250,280,120,"-1,69902570300",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,FRI00406840,3348352,Cam13,127654,https://doi.org/10.15454/UHHPBO,Pa35_H,Syngenta Campagnola 2013,REPLICATE>BLOCK>PLOT,,,FRI00406840,,10.0,21.0,"REPLICATE>BLOCK>PLOT:FRI00406840,REPLICATE>BLOCK:27,REPLICATE:1",watered,2212.3015873016,274.8611764706,"72,6945131971","76,0005825366",6.0807581699,240,280,130,"-3,30606933950",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,FRI00407598,3348014,Cam13,127654,https://doi.org/10.15454/UHHPBO,Pa35_H,Syngenta Campagnola 2013,REPLICATE>BLOCK>PLOT,,,FRI00407598,,18.0,34.0,"REPLICATE>BLOCK>PLOT:FRI00407598,REPLICATE>BLOCK:8,REPLICATE:3",rainfed,1061.7283950617,261.7764705882,"72,6945131971","81,1066458669",2.7793551198,200,245,100,"-8,41213266980",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,FRI00407820,3347779,Cam13,127654,https://doi.org/10.15454/UHHPBO,Pa35_H,Syngenta Campagnola 2013,REPLICATE>BLOCK>PLOT,,,FRI00407820,,10.0,53.0,"REPLICATE>BLOCK>PLOT:FRI00407820,REPLICATE>BLOCK:36,REPLICATE:2",rainfed,1640.2116402116,259.7294117647,"72,6945131971","79,5387303272",4.2601120448,215,245,90,"-6,84421713010",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,FRI00408154,3347529,Cam13,127654,https://doi.org/10.15454/UHHPBO,Pa35_H,Syngenta Campagnola 2013,REPLICATE>BLOCK>PLOT,,,FRI00408154,,7.0,2.0,"REPLICATE>BLOCK>PLOT:FRI00408154,REPLICATE>BLOCK:6,REPLICATE:1",rainfed,1190.4761904762,244.8188235294,"69,6098426242","77,6996082396",2.9145098039,200,240,85,"-8,08976561540",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,FRI00406633,3348614,Cam13,127655,https://doi.org/10.15454/TXE8L9,PP147_H,Syngenta Campagnola 2013,REPLICATE>BLOCK>PLOT,,,FRI00406633,,18.0,25.0,"REPLICATE>BLOCK>PLOT:FRI00406633,REPLICATE>BLOCK:35,REPLICATE:2",watered,1719.5767195767,281.2988235294,"72,6945131971","74,3289392431",4.8371490819,240,280,125,"-1,63442604600",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,FRI00407040,3348118,Cam13,127655,https://doi.org/10.15454/TXE8L9,PP147_H,Syngenta Campagnola 2013,REPLICATE>BLOCK>PLOT,,,FRI00407040,,3.0,12.0,"REPLICATE>BLOCK>PLOT:FRI00407040,REPLICATE>BLOCK:11,REPLICATE:1",watered,1823.8406473701,302.48,"72,6945131971","74,3289392431",5.5167531902,260,300,125,"-1,63442604600",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,FRI00407628,3347999,Cam13,127655,https://doi.org/10.15454/TXE8L9,PP147_H,Syngenta Campagnola 2013,REPLICATE>BLOCK>PLOT,,,FRI00407628,,17.0,49.0,"REPLICATE>BLOCK>PLOT:FRI00407628,REPLICATE>BLOCK:25,REPLICATE:3",rainfed,1386.9992441421,252.1976470588,"72,6945131971","79,5387303272",3.4979794585,180,235,90,"-6,84421713010",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,FRI00407857,3347701,Cam13,127655,https://doi.org/10.15454/TXE8L9,PP147_H,Syngenta Campagnola 2013,REPLICATE>BLOCK>PLOT,,,FRI00407857,,9.0,41.0,"REPLICATE>BLOCK>PLOT:FRI00407857,REPLICATE>BLOCK:17,REPLICATE:2",rainfed,1061.7283950617,260.7529411765,"72,6945131971","84,1900312481",2.7684880174,195,230,110,"-11,49551805100",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,FRI00408243,3347359,Cam13,127655,https://doi.org/10.15454/TXE8L9,PP147_H,Syngenta Campagnola 2013,REPLICATE>BLOCK>PLOT,,,FRI00408243,,4.0,22.0,"REPLICATE>BLOCK>PLOT:FRI00408243,REPLICATE>BLOCK:30,REPLICATE:1",rainfed,1579.7430083144,249.5294117647,"72,6945131971","84,1900312481",3.941923436,205,245,100,"-11,49551805100",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,FRI00406604,3348623,Cam13,127400,https://doi.org/10.15454/P5UIAJ,B73_H,Syngenta Campagnola 2013,REPLICATE>BLOCK>PLOT,,,FRI00406604,,19.0,5.0,"REPLICATE>BLOCK>PLOT:FRI00406604,REPLICATE>BLOCK:9,REPLICATE:2",watered,1780.2676626206,292.68,"76,0005825366","79,5387303272",5.210487395,270,310,125,"-3,53814779060",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,FRI00406850,3348341,Cam13,127400,https://doi.org/10.15454/P5UIAJ,B73_H,Syngenta Campagnola 2013,REPLICATE>BLOCK>PLOT,,,FRI00406850,,10.0,11.0,"REPLICATE>BLOCK>PLOT:FRI00406850,REPLICATE>BLOCK:18,REPLICATE:1",watered,1845.9729570841,311.8447058824,"72,6945131971","77,6996082396",5.7565689387,255,300,130,"-5,00509504250",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,FRI00407668,3347966,Cam13,127400,https://doi.org/10.15454/P5UIAJ,B73_H,Syngenta Campagnola 2013,REPLICATE>BLOCK>PLOT,,,FRI00407668,,16.0,48.0,"REPLICATE>BLOCK>PLOT:FRI00407668,REPLICATE>BLOCK:24,REPLICATE:3",rainfed,1458.80574452,239.5811764706,"72,6945131971","81,1066458669",3.4950239651,205,240,95,"-8,41213266980",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,FRI00407891,3347634,Cam13,127400,https://doi.org/10.15454/P5UIAJ,B73_H,Syngenta Campagnola 2013,REPLICATE>BLOCK>PLOT,,,FRI00407891,,8.0,38.0,"REPLICATE>BLOCK>PLOT:FRI00407891,REPLICATE>BLOCK:16,REPLICATE:2",rainfed,1485.0088183422,250.2352941176,"79,5387303272","84,1900312481",3.7160161843,200,240,100,"-4,65130092090",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,FRI00408098,3347657,Cam13,127400,https://doi.org/10.15454/P5UIAJ,B73_H,Syngenta Campagnola 2013,REPLICATE>BLOCK>PLOT,,,FRI00408098,,9.0,2.0,"REPLICATE>BLOCK>PLOT:FRI00408098,REPLICATE>BLOCK:8,REPLICATE:1",rainfed,1757.3696145125,244.2917647059,"72,6945131971","81,1066458669",4.2931092437,205,250,100,"-8,41213266980",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,5,3347198,Cam13,127400,https://doi.org/10.15454/P5UIAJ,B73_H,Syngenta Campagnola 2013,REPLICATE>BLOCK>PLOT>PLANT,,,,5.0,,,"REPLICATE>BLOCK>PLOT>PLANT:5,REPLICATE>BLOCK>PLOT:FRI00406594,REPLICATE>BLOCK:183,REPLICATE>BLOCK:27,REPLICATE:2,REPLICATE:2",watered,,,,,,,,,,2013,,,,,,,,,,,,16,71,82,81,7,9,9,Yes,,,,,,,,
52,9,3347202,Cam13,127400,https://doi.org/10.15454/P5UIAJ,B73_H,Syngenta Campagnola 2013,REPLICATE>BLOCK>PLOT>PLANT,,,,9.0,,,"REPLICATE>BLOCK>PLOT>PLANT:9,REPLICATE>BLOCK>PLOT:FRI00406594,REPLICATE>BLOCK:183,REPLICATE>BLOCK:27,REPLICATE:2,REPLICATE:2",watered,,,,,,,,,,2013,,,,,,,,,,,,15,77,83,86,7,8,9,Yes,,,,,,,,
53,1,3347191,Cam13,127400,https://doi.org/10.15454/P5UIAJ,B73_H,Syngenta Campagnola 2013,REPLICATE>BLOCK>PLOT>PLANT,,,,1.0,,,"REPLICATE>BLOCK>PLOT>PLANT:1,REPLICATE>BLOCK>PLOT:FRI00406594,REPLICATE>BLOCK:183,REPLICATE>BLOCK:27,REPLICATE:2,REPLICATE:2",watered,,,,,,,,,,2013,,,,,,,,,,,,16,70,81,87,6.5,10,10,Yes,,,,,,,,
54,7,3347200,Cam13,127400,https://doi.org/10.15454/P5UIAJ,B73_H,Syngenta Campagnola 2013,REPLICATE>BLOCK>PLOT>PLANT,,,,7.0,,,"REPLICATE>BLOCK>PLOT>PLANT:7,REPLICATE>BLOCK>PLOT:FRI00406594,REPLICATE>BLOCK:183,REPLICATE>BLOCK:27,REPLICATE:2,REPLICATE:2",watered,,,,,,,,,,2013,,,,,,,,,,,,15,78,91,83,7,7.5,9,Yes,,,,,,,,
55,4,3347197,Cam13,127400,https://doi.org/10.15454/P5UIAJ,B73_H,Syngenta Campagnola 2013,REPLICATE>BLOCK>PLOT>PLANT,,,,4.0,,,"REPLICATE>BLOCK>PLOT>PLANT:4,REPLICATE>BLOCK>PLOT:FRI00406594,REPLICATE>BLOCK:183,REPLICATE>BLOCK:27,REPLICATE:2,REPLICATE:2",watered,,,,,,,,,,2013,,,,,,,,,,,,17,,,,,,,Yes,74,82,86,7.5,9.5,10,,
56,8,3347201,Cam13,127400,https://doi.org/10.15454/P5UIAJ,B73_H,Syngenta Campagnola 2013,REPLICATE>BLOCK>PLOT>PLANT,,,,8.0,,,"REPLICATE>BLOCK>PLOT>PLANT:8,REPLICATE>BLOCK>PLOT:FRI00406594,REPLICATE>BLOCK:183,REPLICATE>BLOCK:27,REPLICATE:2,REPLICATE:2",watered,,,,,,,,,,2013,,,,,,,,,,,,16,72,80,86,8.5,8,9.5,Yes,,,,,,,,
