,observationunitname,observationunitdbid,studydbid,germplasmdbid,germplasmpui,germplasmname,studyname,observationlevel,replicate,replicate.1,plot,plant,x,y,observationlevels,water_regime,GN,KW,MFLW_D20deg,FFLW_D20deg,GY_Adj_tha,plant_height,tassel_height,ear_height,ASI_D20deg,season,Tnight_Early,Tnight_Flo,Tnight_Fill,Ri_Early,Ri_Flo,Ri_Fill,Psi_Flo,Psi_Fill,Tmax_Early,Tmax_Flo,Tmax_Fill,TnbL,L10,L12,L14,W10,W12,W14,Check,L9,L11,L13,W9,W11,W13
10,R1024B03074,3355254,Gai13,127474,https://doi.org/10.15454/GF4RQE,EP55_H,Biogemma Gaillac 2013,REPLICATE>BLOCK>PLOT,,,R1024B03074,,75.0,22.0,"REPLICATE>BLOCK>PLOT:R1024B03074,REPLICATE>BLOCK:30,REPLICATE:3",rainfed,2452.9569892473,278.6352941176,"76,907533587","82,6769095268",6.8348039216,160,215,70,"-5,76937593980",2013,,,,,,,,,,,,,,,,,,,,,,,,,
11,R1014B02074,3354571,Gai13,127474,https://doi.org/10.15454/GF4RQE,EP55_H,Biogemma Gaillac 2013,REPLICATE>BLOCK>PLOT,,,R1014B02074,,197.0,33.0,"REPLICATE>BLOCK>PLOT:R1014B02074,REPLICATE>BLOCK:16,REPLICATE:2",watered,2500,340.5882352941,"75,3318871563","75,3318871563",8.5147058824,240,285,130,"0,00000000000",2013,,,,,,,,,,,,,,,,,,,,,,,,,
12,3078water_regimewatered,3337628,Gai13,127474,https://doi.org/10.15454/GF4RQE,EP55_H,Biogemma Gaillac 2013,VIRTUAL_TRIAL,,,,,,,,watered,339.2608630503,74.9778637563,74.9641199775,236.3017125275,2917.8750560761,283.629650543,130.6852473994,,,2013,16.7029506605,21.2625999122,16.0746810468,266.079,202.041,817.044,-11.2282608696,-7.3409090909,29.9183542014,35.9544936258,28.341491153,,,,,,,,,,,,,,
13,3078water_regimerainfed,3337382,Gai13,127474,https://doi.org/10.15454/GF4RQE,EP55_H,Biogemma Gaillac 2013,VIRTUAL_TRIAL,,,,,,,,rainfed,380.4393298376,77.1368112326,82.9735764039,165.3796484489,2079.2956590814,214.3175756196,72.9643578342,,,2013,16.7029506605,20.7142877046,15.8660994143,266.079,267.544,718.692,-63.9597701149,-37.5027777778,29.9183542014,34.945516848,28.1165913135,,,,,,,,,,,,,,
14,R1024B01246,3354694,Gai13,127650,https://doi.org/10.15454/I2W4OZ,SGI061_H,Biogemma Gaillac 2013,REPLICATE>BLOCK>PLOT,,,R1024B01246,,64.0,9.0,"REPLICATE>BLOCK>PLOT:R1024B01246,REPLICATE>BLOCK:17,REPLICATE:1,REPLICATE:3,REPLICATE:2",rainfed,2578.125,355.2941176471,"81,197629786","84,2066964446",9.1599264706,165,210,80,"-3,00906665860",2013,,,,,,,,,,,,,,,,,,,,,,,,,
15,R1024B02246,3354958,Gai13,127650,https://doi.org/10.15454/I2W4OZ,SGI061_H,Biogemma Gaillac 2013,REPLICATE>BLOCK>PLOT,,,R1024B02246,,69.0,13.0,"REPLICATE>BLOCK>PLOT:R1024B02246,REPLICATE>BLOCK:21,REPLICATE:2",rainfed,2083.3333333333,420.2352941176,"76,907533587","82,6769095268",8.7549019608,170,220,75,"-5,76937593980",2013,,,,,,,,,,,,,,,,,,,,,,,,,
16,R1014B01246,3355218,Gai13,127650,https://doi.org/10.15454/I2W4OZ,SGI061_H,Biogemma Gaillac 2013,REPLICATE>BLOCK>PLOT,,,R1014B01246,,209.0,25.0,"REPLICATE>BLOCK>PLOT:R1014B01246,REPLICATE>BLOCK:35,REPLICATE:1",watered,3179.1125541126,346.9529411765,"75,3318871563","72,1426344005",11.0300245098,260,295,125,"3,18925275580",2013,,,,,,,,,,,,,,,,,,,,,,,,,
17,R1024B03246,3355341,Gai13,127650,https://doi.org/10.15454/I2W4OZ,SGI061_H,Biogemma Gaillac 2013,REPLICATE>BLOCK>PLOT,,,R1024B03246,,77.0,24.0,"REPLICATE>BLOCK>PLOT:R1024B03246,REPLICATE>BLOCK:32,REPLICATE:3",rainfed,2063.1067961165,458.6529411765,"75,3318871563","78,3268313656",9.4625,190,220,100,"-2,99494420930",2013,,,,,,,,,,,,,,,,,,,,,,,,,
18,R1014B02246,3354985,Gai13,127650,https://doi.org/10.15454/I2W4OZ,SGI061_H,Biogemma Gaillac 2013,REPLICATE>BLOCK>PLOT,,,R1014B02246,,205.0,29.0,"REPLICATE>BLOCK>PLOT:R1014B02246,REPLICATE>BLOCK:21,REPLICATE:2",watered,2890.9176029963,399.4529411765,"72,1426344005","70,4936948908",11.5478553922,245,290,120,"1,64893950970",2013,,,,,,,,,,,,,,,,,,,,,,,,,
19,3256water_regimewatered,3337800,Gai13,127650,https://doi.org/10.15454/I2W4OZ,SGI061_H,Biogemma Gaillac 2013,VIRTUAL_TRIAL,,,,,,,,watered,419.8731672289,74.4835942917,72.1455572101,249.4520328748,2937.6221113027,287.4620270418,122.2574597706,,,2013,16.4984020202,21.2299568603,16.1512475337,221.718,177.051,842.034,-11.4131944444,-7.3271144279,29.6656345721,35.9904832722,28.4356339872,,,,,,,,,,,,,,
20,3256water_regimerainfed,3337554,Gai13,127650,https://doi.org/10.15454/I2W4OZ,SGI061_H,Biogemma Gaillac 2013,VIRTUAL_TRIAL,,,,,,,,rainfed,461.459175572,78.0180093671,82.1470583608,172.1779824414,2222.9378915233,216.8501096357,84.4149343,,,2013,16.4984020202,20.7546293581,15.8660994143,221.718,267.544,718.692,-60.6989247312,-37.5027777778,29.6656345721,35.0358436006,28.1165913135,,,,,,,,,,,,,,
21,R1024B03247,3355349,Gai13,127651,https://doi.org/10.15454/ZSEK9Q,B14a_H,Biogemma Gaillac 2013,REPLICATE>BLOCK>PLOT,,,R1024B03247,,77.0,20.0,"REPLICATE>BLOCK>PLOT:R1024B03247,REPLICATE>BLOCK:28,REPLICATE:1,REPLICATE:3,REPLICATE:1,REPLICATE:2",rainfed,2106.7415730337,374.8470588235,"85,7952931765","85,7952931765",7.8970588235,170,215,90,"0,00000000000",2013,,,,,,,,,,,,,,,,,,,,,,,,,
22,R1024B01247,3354513,Gai13,127651,https://doi.org/10.15454/ZSEK9Q,B14a_H,Biogemma Gaillac 2013,REPLICATE>BLOCK>PLOT,,,R1024B01247,,60.0,10.0,"REPLICATE>BLOCK>PLOT:R1024B01247,REPLICATE>BLOCK:18,REPLICATE:1",rainfed,2610.5967078189,342.1058823529,"85,7952931765","89,1385341643",8.931004902,170,230,90,"-3,34324098780",2013,,,,,,,,,,,,,,,,,,,,,,,,,
23,R1024B02247,3354047,Gai13,127651,https://doi.org/10.15454/ZSEK9Q,B14a_H,Biogemma Gaillac 2013,REPLICATE>BLOCK>PLOT,,,R1024B02247,,51.0,12.0,"REPLICATE>BLOCK>PLOT:R1024B02247,REPLICATE>BLOCK:2,REPLICATE:2",rainfed,2048.6111111111,378.5294117647,"84,2066964446","85,7952931765",7.7545955882,180,220,100,"-1,58859673190",2013,,,,,,,,,,,,,,,,,,,,,,,,,
24,R1014B01247,3354915,Gai13,127651,https://doi.org/10.15454/ZSEK9Q,B14a_H,Biogemma Gaillac 2013,REPLICATE>BLOCK>PLOT,,,R1014B01247,,203.0,19.0,"REPLICATE>BLOCK>PLOT:R1014B01247,REPLICATE>BLOCK:20,REPLICATE:1",watered,2492.2118380062,456.9529411765,"84,2066964446","84,2066964446",11.3882352941,225,285,115,"0,00000000000",2013,,,,,,,,,,,,,,,,,,,,,,,,,
25,R1014B02247,3354259,Gai13,127651,https://doi.org/10.15454/ZSEK9Q,B14a_H,Biogemma Gaillac 2013,REPLICATE>BLOCK>PLOT,,,R1014B02247,,191.0,32.0,"REPLICATE>BLOCK>PLOT:R1014B02247,REPLICATE>BLOCK:6,REPLICATE:2",watered,2285.8796296296,468.2117647059,"76,907533587","81,197629786",10.7027573529,240,280,120,"-4,29009619900",2013,,,,,,,,,,,,,,,,,,,,,,,,,
26,R1024B01248,3354611,Gai13,127652,https://doi.org/10.15454/WPUFWH,F816_H,Biogemma Gaillac 2013,REPLICATE>BLOCK>PLOT,,,R1024B01248,,62.0,2.0,"REPLICATE>BLOCK>PLOT:R1024B01248,REPLICATE>BLOCK:10,REPLICATE:1",rainfed,1720.5056179775,398.9294117647,"75,3318871563","81,197629786",6.8636029412,155,220,75,"-5,86574262970",2013,,,,,,,,,,,,,,,,,,,,,,,,,
27,R1024B02248,3354228,Gai13,127652,https://doi.org/10.15454/WPUFWH,F816_H,Biogemma Gaillac 2013,REPLICATE>BLOCK>PLOT,,,R1024B02248,,55.0,18.0,"REPLICATE>BLOCK>PLOT:R1024B02248,REPLICATE>BLOCK:8,REPLICATE:2",rainfed,2583.8744588745,339.7058823529,"75,3318871563","78,3268313656",8.7775735294,155,220,70,"-2,99494420930",2013,,,,,,,,,,,,,,,,,,,,,,,,,
28,R1014B01248,3355320,Gai13,127652,https://doi.org/10.15454/WPUFWH,F816_H,Biogemma Gaillac 2013,REPLICATE>BLOCK>PLOT,,,R1014B01248,,211.0,19.0,"REPLICATE>BLOCK>PLOT:R1014B01248,REPLICATE>BLOCK:29,REPLICATE:1",watered,2543.6046511628,387,"76,907533587","78,3268313656",9.84375,215,265,100,"-1,41929777860",2013,,,,,,,,,,,,,,,,,,,,,,,,,
29,R1024B03248,3354732,Gai13,127652,https://doi.org/10.15454/WPUFWH,F816_H,Biogemma Gaillac 2013,REPLICATE>BLOCK>PLOT,,,R1024B03248,,65.0,21.0,"REPLICATE>BLOCK>PLOT:R1024B03248,REPLICATE>BLOCK:20,REPLICATE:3",rainfed,2248.4756097561,364.1764705882,"75,3318871563","76,907533587",8.1884191176,175,200,70,"-1,57564643070",2013,,,,,,,,,,,,,,,,,,,,,,,,,
30,R1014B02248,3354807,Gai13,127652,https://doi.org/10.15454/WPUFWH,F816_H,Biogemma Gaillac 2013,REPLICATE>BLOCK>PLOT,,,R1014B02248,,201.0,28.0,"REPLICATE>BLOCK>PLOT:R1014B02248,REPLICATE>BLOCK:20,REPLICATE:2",watered,2777.7777777778,394.5705882353,"72,1426344005","70,4936948908",10.9602941176,235,295,110,"1,64893950970",2013,,,,,,,,,,,,,,,,,,,,,,,,,
31,R1024B02249,3354498,Gai13,127653,https://doi.org/10.15454/CHTSUF,NS501_H,Biogemma Gaillac 2013,REPLICATE>BLOCK>PLOT,,,R1024B02249,,60.0,18.0,"REPLICATE>BLOCK>PLOT:R1024B02249,REPLICATE>BLOCK:17,REPLICATE:1,REPLICATE:3,REPLICATE:2",rainfed,2361.1111111111,333.5294117647,"76,907533587","79,742995425",7.875,165,220,70,"-2,83546183800",2013,,,,,,,,,,,,,,,,,,,,,,,,,
32,R1024B01249,3354788,Gai13,127653,https://doi.org/10.15454/CHTSUF,NS501_H,Biogemma Gaillac 2013,REPLICATE>BLOCK>PLOT,,,R1024B01249,,65.0,3.0,"REPLICATE>BLOCK>PLOT:R1024B01249,REPLICATE>BLOCK:20,REPLICATE:1",rainfed,2083.3333333333,334.5117647059,"78,3268313656","81,197629786",6.968995098,160,205,70,"-2,87079842040",2013,,,,,,,,,,,,,,,,,,,,,,,,,
33,R1014B01249,3355124,Gai13,127653,https://doi.org/10.15454/CHTSUF,NS501_H,Biogemma Gaillac 2013,REPLICATE>BLOCK>PLOT,,,R1014B01249,,207.0,20.0,"REPLICATE>BLOCK>PLOT:R1014B01249,REPLICATE>BLOCK:30,REPLICATE:1",watered,2804.4871794872,351.9176470588,"76,907533587","78,3268313656",9.8694852941,240,280,135,"-1,41929777860",2013,,,,,,,,,,,,,,,,,,,,,,,,,
34,R1024B03249,3355288,Gai13,127653,https://doi.org/10.15454/CHTSUF,NS501_H,Biogemma Gaillac 2013,REPLICATE>BLOCK>PLOT,,,R1024B03249,,76.0,28.0,"REPLICATE>BLOCK>PLOT:R1024B03249,REPLICATE>BLOCK:36,REPLICATE:3",rainfed,Inf,0,"76,907533587","76,907533587",7.5112745098,175,230,85,"0,00000000000",2013,,,,,,,,,,,,,,,,,,,,,,,,,
35,R1014B02249,3354169,Gai13,127653,https://doi.org/10.15454/CHTSUF,NS501_H,Biogemma Gaillac 2013,REPLICATE>BLOCK>PLOT,,,R1014B02249,,189.0,32.0,"REPLICATE>BLOCK>PLOT:R1014B02249,REPLICATE>BLOCK:6,REPLICATE:2",watered,2960.5263157895,342,"72,1426344005","73,7103504074",10.125,250,270,130,"-1,56771600690",2013,,,,,,,,,,,,,,,,,,,,,,,,,
36,R1024B01250,3354778,Gai13,127654,https://doi.org/10.15454/UHHPBO,Pa35_H,Biogemma Gaillac 2013,REPLICATE>BLOCK>PLOT,,,R1024B01250,,65.0,8.0,"REPLICATE>BLOCK>PLOT:R1024B01250,REPLICATE>BLOCK:25,REPLICATE:1",rainfed,1896.3675213675,347.3294117647,"75,3318871563","82,6769095268",6.5866421569,160,190,75,"-7,34502237050",2013,,,,,,,,,,,,,,,,,,,,,,,,,
37,R1024B02250,3354594,Gai13,127654,https://doi.org/10.15454/UHHPBO,Pa35_H,Biogemma Gaillac 2013,REPLICATE>BLOCK>PLOT,,,R1024B02250,,62.0,15.0,"REPLICATE>BLOCK>PLOT:R1024B02250,REPLICATE>BLOCK:14,REPLICATE:2",rainfed,2305.5555555556,328.2352941176,"75,3318871563","81,197629786",7.5676470588,140,185,70,"-5,86574262970",2013,,,,,,,,,,,,,,,,,,,,,,,,,
38,R1014B01250,3355365,Gai13,127654,https://doi.org/10.15454/UHHPBO,Pa35_H,Biogemma Gaillac 2013,REPLICATE>BLOCK>PLOT,,,R1014B01250,,212.0,19.0,"REPLICATE>BLOCK>PLOT:R1014B01250,REPLICATE>BLOCK:29,REPLICATE:1",watered,2616.5674603175,371.0823529412,"76,907533587","78,3268313656",9.709620098,210,265,100,"-1,41929777860",2013,,,,,,,,,,,,,,,,,,,,,,,,,
39,R1024B03250,3354261,Gai13,127654,https://doi.org/10.15454/UHHPBO,Pa35_H,Biogemma Gaillac 2013,REPLICATE>BLOCK>PLOT,,,R1024B03250,,56.0,24.0,"REPLICATE>BLOCK>PLOT:R1024B03250,REPLICATE>BLOCK:5,REPLICATE:3",rainfed,2453.399122807,335.7411764706,"75,3318871563","78,3268313656",8.2370710784,180,190,85,"-2,99494420930",2013,,,,,,,,,,,,,,,,,,,,,,,,,
40,R1014B02250,3354668,Gai13,127654,https://doi.org/10.15454/UHHPBO,Pa35_H,Biogemma Gaillac 2013,REPLICATE>BLOCK>PLOT,,,R1014B02250,,199.0,30.0,"REPLICATE>BLOCK>PLOT:R1014B02250,REPLICATE>BLOCK:13,REPLICATE:2",watered,2604.1666666667,396.5176470588,"72,1426344005","72,1426344005",10.3259803922,240,285,135,"0,00000000000",2013,,,,,,,,,,,,,,,,,,,,,,,,,
41,R1024B03251,3355214,Gai13,127655,https://doi.org/10.15454/TXE8L9,PP147_H,Biogemma Gaillac 2013,REPLICATE>BLOCK>PLOT,,,R1024B03251,,74.0,20.0,"REPLICATE>BLOCK>PLOT:R1024B03251,REPLICATE>BLOCK:28,REPLICATE:1,REPLICATE:3,REPLICATE:1,REPLICATE:2",rainfed,2045.2235772358,356.9411764706,"81,197629786","85,7952931765",7.300245098,180,225,85,"-4,59766339050",2013,,,,,,,,,,,,,,,,,,,,,,,,,
42,R1024B01251,3355010,Gai13,127655,https://doi.org/10.15454/TXE8L9,PP147_H,Biogemma Gaillac 2013,REPLICATE>BLOCK>PLOT,,,R1024B01251,,70.0,8.0,"REPLICATE>BLOCK>PLOT:R1024B01251,REPLICATE>BLOCK:25,REPLICATE:1",rainfed,1680.8712121212,376.8470588235,"85,7952931765","90,7357803826",6.3343137255,180,225,85,"-4,94048720610",2013,,,,,,,,,,,,,,,,,,,,,,,,,
43,R1024B02251,3354320,Gai13,127655,https://doi.org/10.15454/TXE8L9,PP147_H,Biogemma Gaillac 2013,REPLICATE>BLOCK>PLOT,,,R1024B02251,,57.0,17.0,"REPLICATE>BLOCK>PLOT:R1024B02251,REPLICATE>BLOCK:7,REPLICATE:2",rainfed,1834.7537878788,372.1882352941,"81,197629786","90,7357803826",6.8287377451,180,230,90,"-9,53815059660",2013,,,,,,,,,,,,,,,,,,,,,,,,,
44,R1014B01251,3354555,Gai13,127655,https://doi.org/10.15454/TXE8L9,PP147_H,Biogemma Gaillac 2013,REPLICATE>BLOCK>PLOT,,,R1014B01251,,196.0,19.0,"REPLICATE>BLOCK>PLOT:R1014B01251,REPLICATE>BLOCK:11,REPLICATE:1",watered,2343.75,346.3529411765,"79,742995425","84,2066964446",8.1176470588,245,295,120,"-4,46370101960",2013,,,,,,,,,,,,,,,,,,,,,,,,,
45,R1014B02251,3354797,Gai13,127655,https://doi.org/10.15454/TXE8L9,PP147_H,Biogemma Gaillac 2013,REPLICATE>BLOCK>PLOT,,,R1014B02251,,201.0,33.0,"REPLICATE>BLOCK>PLOT:R1014B02251,REPLICATE>BLOCK:25,REPLICATE:2",watered,1892.9211469534,405.3705882353,"76,907533587","76,907533587",7.6733455882,235,315,145,"0,00000000000",2013,,,,,,,,,,,,,,,,,,,,,,,,,
46,R1024B02001,3354826,Gai13,127400,https://doi.org/10.15454/P5UIAJ,B73_H,Biogemma Gaillac 2013,REPLICATE>BLOCK>PLOT,,,R1024B02001,,66.0,11.0,"REPLICATE>BLOCK>PLOT:R1024B02001,REPLICATE>BLOCK:19,REPLICATE:1,REPLICATE:3,REPLICATE:2",rainfed,2748.8425925926,301.5529411765,"81,197629786","84,2066964446",8.2892156863,175,205,90,"-3,00906665860",2013,,,,,,,,,,,,,,,,,,,,,,,,,
47,R1014B01001,3354677,Gai13,127400,https://doi.org/10.15454/P5UIAJ,B73_H,Biogemma Gaillac 2013,REPLICATE>BLOCK>PLOT,,,R1014B01001,,199.0,25.0,"REPLICATE>BLOCK>PLOT:R1014B01001,REPLICATE>BLOCK:17,REPLICATE:1,REPLICATE:3,REPLICATE:2",watered,3378.3783783784,324.2941176471,"76,907533587","75,3318871563",10.9558823529,255,290,120,"1,57564643070",2013,,,,,,,,,,,,,,,,,,,,,,,,,
48,R1024B01001,3354430,Gai13,127400,https://doi.org/10.15454/P5UIAJ,B73_H,Biogemma Gaillac 2013,REPLICATE>BLOCK>PLOT,,,R1024B01001,,58.0,2.0,"REPLICATE>BLOCK>PLOT:R1024B01001,REPLICATE>BLOCK:10,REPLICATE:1",rainfed,2179.2763157895,325.0117647059,"81,197629786","90,7357803826",7.0829044118,175,215,85,"-9,53815059660",2013,,,,,,,,,,,,,,,,,,,,,,,,,
49,R1024B03001,3355086,Gai13,127400,https://doi.org/10.15454/P5UIAJ,B73_H,Biogemma Gaillac 2013,REPLICATE>BLOCK>PLOT,,,R1024B03001,,72.0,22.0,"REPLICATE>BLOCK>PLOT:R1024B03001,REPLICATE>BLOCK:30,REPLICATE:3",rainfed,2658.9912280702,320.9882352941,"81,197629786","82,6769095268",8.5350490196,180,230,85,"-1,47927974080",2013,,,,,,,,,,,,,,,,,,,,,,,,,
50,R1014B02001,3355248,Gai13,127400,https://doi.org/10.15454/P5UIAJ,B73_H,Biogemma Gaillac 2013,REPLICATE>BLOCK>PLOT,,,R1014B02001,,210.0,32.0,"REPLICATE>BLOCK>PLOT:R1014B02001,REPLICATE>BLOCK:33,REPLICATE:2",watered,3327.5462962963,312.1411764706,"76,907533587","76,907533587",10.3866421569,230,290,130,"0,00000000000",2013,,,,,,,,,,,,,,,,,,,,,,,,,
51,5,3353958,Gai13,127400,https://doi.org/10.15454/P5UIAJ,B73_H,Biogemma Gaillac 2013,REPLICATE>BLOCK>PLOT>PLANT,,,,5.0,,,"REPLICATE>BLOCK>PLOT>PLANT:5,REPLICATE>BLOCK>PLOT:R1024B02252,REPLICATE>BLOCK:1,REPLICATE:1,REPLICATE:3,REPLICATE:2,REPLICATE:2",rainfed,,,,,,,,,,2013,,,,,,,,,,,,16,74.5,82,67,8,8,7.5,Yes,,,,,,
52,9,3353962,Gai13,127400,https://doi.org/10.15454/P5UIAJ,B73_H,Biogemma Gaillac 2013,REPLICATE>BLOCK>PLOT>PLANT,,,,9.0,,,"REPLICATE>BLOCK>PLOT>PLANT:9,REPLICATE>BLOCK>PLOT:R1024B02252,REPLICATE>BLOCK:1,REPLICATE:1,REPLICATE:3,REPLICATE:2,REPLICATE:2",rainfed,,,,,,,,,,2013,,,,,,,,,,,,17,76,85.5,78,8,8.5,7.7,Yes,,,,,,
53,1,3353951,Gai13,127400,https://doi.org/10.15454/P5UIAJ,B73_H,Biogemma Gaillac 2013,REPLICATE>BLOCK>PLOT>PLANT,,,,1.0,,,"REPLICATE>BLOCK>PLOT>PLANT:1,REPLICATE>BLOCK>PLOT:R1024B02252,REPLICATE>BLOCK:1,REPLICATE:1,REPLICATE:3,REPLICATE:2,REPLICATE:2",rainfed,,,,,,,,,,2013,,,,,,,,,,,,17,81,91,80.5,7.5,9,8.5,Yes,,,,,,
54,7,3353960,Gai13,127400,https://doi.org/10.15454/P5UIAJ,B73_H,Biogemma Gaillac 2013,REPLICATE>BLOCK>PLOT>PLANT,,,,7.0,,,"REPLICATE>BLOCK>PLOT>PLANT:7,REPLICATE>BLOCK>PLOT:R1024B02252,REPLICATE>BLOCK:1,REPLICATE:1,REPLICATE:3,REPLICATE:2,REPLICATE:2",rainfed,,,,,,,,,,2013,,,,,,,,,,,,16,81.5,88,64,7,7,6.5,Yes,,,,,,
55,4,3353957,Gai13,127400,https://doi.org/10.15454/P5UIAJ,B73_H,Biogemma Gaillac 2013,REPLICATE>BLOCK>PLOT>PLANT,,,,4.0,,,"REPLICATE>BLOCK>PLOT>PLANT:4,REPLICATE>BLOCK>PLOT:R1024B02252,REPLICATE>BLOCK:1,REPLICATE:1,REPLICATE:3,REPLICATE:2,REPLICATE:2",rainfed,,,,,,,,,,2013,,,,,,,,,,,,17,85,93,76,7.7,8,7.7,Yes,,,,,,
56,8,3353961,Gai13,127400,https://doi.org/10.15454/P5UIAJ,B73_H,Biogemma Gaillac 2013,REPLICATE>BLOCK>PLOT>PLANT,,,,8.0,,,"REPLICATE>BLOCK>PLOT>PLANT:8,REPLICATE>BLOCK>PLOT:R1024B02252,REPLICATE>BLOCK:1,REPLICATE:1,REPLICATE:3,REPLICATE:2,REPLICATE:2",rainfed,,,,,,,,,,2013,,,,,,,,,,,,17,74,85,74,7,8,7.8,Yes,,,,,,
