,observationunitname,observationunitdbid,studydbid,germplasmdbid,germplasmpui,germplasmname,studyname,observationlevel,replicate,replicate.1,plot,plant,x,y,observationlevels,water_regime,GN,KW,MFLW_D20deg,FFLW_D20deg,GY_Adj_tha,plant_height,tassel_height,ear_height,ASI_D20deg,season,Tnight_Early,Tnight_Flo,Tnight_Fill,Ri_Early,Ri_Flo,Ri_Fill,Psi_Flo,Psi_Fill,Tmax_Early,Tmax_Flo,Tmax_Fill
22,G72-02-1-252,3353913,Gai12,127400,https://doi.org/10.15454/P5UIAJ,B73_H,Biogemma Gaillac 2012,REPLICATE>BLOCK>PLOT,,,G72-02-1-252,,8.0,19.0,"REPLICATE>BLOCK>PLOT:G72-02-1-252,REPLICATE>BLOCK:31,REPLICATE:1",watered,4148.2300884956,269.2058823529,"65,9788172736","65,9788172736",11.1672794118,265,295,130,"0,00000000000",2012,,,,,,,,,,,
23,G72-01-3-252,3353912,Gai12,127400,https://doi.org/10.15454/P5UIAJ,B73_H,Biogemma Gaillac 2012,REPLICATE>BLOCK>PLOT,,,G72-01-3-252,,23.0,15.0,"REPLICATE>BLOCK>PLOT:G72-01-3-252,REPLICATE>BLOCK:19,REPLICATE:3",rainfed,1409.0594744122,192.5164705882,"68,1234868243","83,19971632",2.7126715686,180,210,90,"-15,07622949570",2012,,,,,,,,,,,
24,G72-01-2-252,3353911,Gai12,127400,https://doi.org/10.15454/P5UIAJ,B73_H,Biogemma Gaillac 2012,REPLICATE>BLOCK>PLOT,,,G72-01-2-252,,17.0,17.0,"REPLICATE>BLOCK>PLOT:G72-01-2-252,REPLICATE>BLOCK:31,REPLICATE:2",rainfed,1597.2222222222,175.1647058824,"67,0282656168","78,9055366062",2.7977696078,185,220,90,"-11,87727098940",2012,,,,,,,,,,,
25,G72-01-1-252,3353910,Gai12,127400,https://doi.org/10.15454/P5UIAJ,B73_H,Biogemma Gaillac 2012,REPLICATE>BLOCK>PLOT,,,G72-01-1-252,,1.0,11.0,"REPLICATE>BLOCK>PLOT:G72-01-1-252,REPLICATE>BLOCK:2,REPLICATE:1",rainfed,1626.559714795,237.27,"65,9788172736","78,9055366062",3.8593382353,165,220,105,"-12,92671933260",2012,,,,,,,,,,,
26,G72-02-2-1,3352482,Gai12,127400,https://doi.org/10.15454/P5UIAJ,B73_H,Biogemma Gaillac 2012,REPLICATE>BLOCK>PLOT,,,G72-02-2-1,,14.0,13.0,"REPLICATE>BLOCK>PLOT:G72-02-2-1,REPLICATE>BLOCK:18,REPLICATE:2",watered,3987.3887240356,264.8423529412,"69,1907382303","68,1234868243",10.5602941176,280,340,160,"1,06725140600",2012,,,,,,,,,,,
27,G72-02-1-1,3352479,Gai12,127400,https://doi.org/10.15454/P5UIAJ,B73_H,Biogemma Gaillac 2012,REPLICATE>BLOCK>PLOT,,,G72-02-1-1,,7.0,11.0,"REPLICATE>BLOCK>PLOT:G72-02-1-1,REPLICATE>BLOCK:26,REPLICATE:1",watered,4462.1749408983,281.1705882353,"65,9788172736","64,7849117529",12.5463235294,255,315,115,"1,19390552070",2012,,,,,,,,,,,
28,G72-01-3-1,3352476,Gai12,127400,https://doi.org/10.15454/P5UIAJ,B73_H,Biogemma Gaillac 2012,REPLICATE>BLOCK>PLOT,,,G72-01-3-1,,19.0,21.0,"REPLICATE>BLOCK>PLOT:G72-01-3-1,REPLICATE>BLOCK:3,REPLICATE:3",rainfed,1960.2272727273,173.6705882353,"67,0282656168","81,6621384111",3.4043382353,165,235,90,"-14,63387279430",2012,,,,,,,,,,,
29,G72-01-2-1,3352473,Gai12,127400,https://doi.org/10.15454/P5UIAJ,B73_H,Biogemma Gaillac 2012,REPLICATE>BLOCK>PLOT,,,G72-01-2-1,,11.0,16.0,"REPLICATE>BLOCK>PLOT:G72-01-2-1,REPLICATE>BLOCK:7,REPLICATE:2",rainfed,1521.0355987055,213.2705882353,"69,1907382303","78,9055366062",3.2439215686,170,220,105,"-9,71479837590",2012,,,,,,,,,,,
30,G72-01-1-1,3352470,Gai12,127400,https://doi.org/10.15454/P5UIAJ,B73_H,Biogemma Gaillac 2012,REPLICATE>BLOCK>PLOT,,,G72-01-1-1,,3.0,5.0,"REPLICATE>BLOCK>PLOT:G72-01-1-1,REPLICATE>BLOCK:9,REPLICATE:1",rainfed,1492.31678487,228.5858823529,"64,7849117529","78,9055366062",3.4112254902,170,230,105,"-14,12062485330",2012,,,,,,,,,,,
31,3001water_regimewatered,3337063,Gai12,127400,https://doi.org/10.15454/P5UIAJ,B73_H,Biogemma Gaillac 2012,VIRTUAL_TRIAL,,,,,,,,watered,334.5244829567,67.4443269982,66.464886421,255.414764403,4237.8635823206,325.4149460451,139.08769174,,,2012,18.472430303,18.1438998682,17.0028854165,280.475,241.887,963.435,-20.2554347826,-9.9206989247,27.1868526225,27.2798120066,25.3819659186
32,3001water_regimerainfed,3336817,Gai12,127400,https://doi.org/10.15454/P5UIAJ,B73_H,Biogemma Gaillac 2012,VIRTUAL_TRIAL,,,,,,,,rainfed,267.4403225874,67.3077599988,79.813461963,163.6852897185,1508.9903313591,220.779042498,98.1448998976,,,2012,,,,,,,,,,,
33,G72-02-2-2,3352493,Gai12,127401,https://doi.org/10.15454/AQWE02,PH207_H,Biogemma Gaillac 2012,REPLICATE>BLOCK>PLOT,,,G72-02-2-2,,12.0,27.0,"REPLICATE>BLOCK>PLOT:G72-02-2-2,REPLICATE>BLOCK:12,REPLICATE:2",watered,3283.9990489777,294.8323529412,"65,9788172736","65,9788172736",9.6822916667,230,285,105,"0,00000000000",2012,,,,,,,,,,,
34,G72-02-1-2,3352491,Gai12,127401,https://doi.org/10.15454/AQWE02,PH207_H,Biogemma Gaillac 2012,REPLICATE>BLOCK>PLOT,,,G72-02-1-2,,3.0,20.0,"REPLICATE>BLOCK>PLOT:G72-02-1-2,REPLICATE>BLOCK:11,REPLICATE:1",watered,3806.7023445464,281.6047058824,"62,0608834049","62,0608834049",10.7198529412,230,285,110,"0,00000000000",2012,,,,,,,,,,,
35,G72-01-3-2,3352489,Gai12,127401,https://doi.org/10.15454/AQWE02,PH207_H,Biogemma Gaillac 2012,REPLICATE>BLOCK>PLOT,,,G72-01-3-2,,24.0,13.0,"REPLICATE>BLOCK>PLOT:G72-01-3-2,REPLICATE>BLOCK:22,REPLICATE:3",rainfed,1983.4221432801,231.4923529412,"63,3048330487","64,7849117529",4.5914705882,175,215,80,"-1,48007870420",2012,,,,,,,,,,,
36,G72-01-2-2,3352487,Gai12,127401,https://doi.org/10.15454/AQWE02,PH207_H,Biogemma Gaillac 2012,REPLICATE>BLOCK>PLOT,,,G72-01-2-2,,11.0,27.0,"REPLICATE>BLOCK>PLOT:G72-01-2-2,REPLICATE>BLOCK:8,REPLICATE:2",rainfed,2199.6996996997,231.4676470588,"62,0608834049","63,3048330487",5.0915931373,165,220,105,"-1,24394964380",2012,,,,,,,,,,,
37,G72-01-1-2,3352485,Gai12,127401,https://doi.org/10.15454/AQWE02,PH207_H,Biogemma Gaillac 2012,REPLICATE>BLOCK>PLOT,,,G72-01-1-2,,4.0,20.0,"REPLICATE>BLOCK>PLOT:G72-01-1-2,REPLICATE>BLOCK:15,REPLICATE:1",rainfed,2334.7701149425,183.9623529412,"62,0608834049","68,1234868243",4.2950980392,165,205,105,"-6,06260341940",2012,,,,,,,,,,,
38,3002water_regimewatered,3337064,Gai12,127401,https://doi.org/10.15454/AQWE02,PH207_H,Biogemma Gaillac 2012,VIRTUAL_TRIAL,,,,,,,,watered,330.7934490158,63.491282429,63.7747231805,235.7376151804,3636.8406028404,288.482696568,105.5431929591,,,2012,18.2112352694,17.9134650856,17.1364637387,238.884,255.262,1015.171,-22.4836956522,-9.5997474747,26.9159674457,27.1264248515,25.5538073905
39,3002water_regimerainfed,3336818,Gai12,127401,https://doi.org/10.15454/AQWE02,PH207_H,Biogemma Gaillac 2012,VIRTUAL_TRIAL,,,,,,,,rainfed,259.279903329,62.85473836,64.9019660958,166.3120177231,2261.5322002715,215.8960023185,97.205435556,,,2012,,,,,,,,,,,
40,G72-02-2-3,3352503,Gai12,127402,https://doi.org/10.15454/5GN11W,Oh43_H,Biogemma Gaillac 2012,REPLICATE>BLOCK>PLOT,,,G72-02-2-3,,11.0,10.0,"REPLICATE>BLOCK>PLOT:G72-02-2-3,REPLICATE>BLOCK:6,REPLICATE:2",watered,4785.6049004594,266.1935294118,"65,9788172736","68,1234868243",12.7389705882,260,305,130,"-2,14466955070",2012,,,,,,,,,,,
41,G72-02-1-3,3352501,Gai12,127402,https://doi.org/10.15454/5GN11W,Oh43_H,Biogemma Gaillac 2012,REPLICATE>BLOCK>PLOT,,,G72-02-1-3,,3.0,3.0,"REPLICATE>BLOCK>PLOT:G72-02-1-3,REPLICATE>BLOCK:9,REPLICATE:1",watered,4176.4937106918,260.76,"67,0282656168","65,9788172736",10.890625,250,300,110,"1,04944834320",2012,,,,,,,,,,,
42,G72-01-3-3,3352499,Gai12,127402,https://doi.org/10.15454/5GN11W,Oh43_H,Biogemma Gaillac 2012,REPLICATE>BLOCK>PLOT,,,G72-01-3-3,,24.0,3.0,"REPLICATE>BLOCK>PLOT:G72-01-3-3,REPLICATE>BLOCK:21,REPLICATE:3",rainfed,1609.1051805338,249.5541176471,"67,0282656168","76,4636532233",4.0155882353,165,190,95,"-9,43538760650",2012,,,,,,,,,,,
43,G72-01-2-3,3352497,Gai12,127402,https://doi.org/10.15454/5GN11W,Oh43_H,Biogemma Gaillac 2012,REPLICATE>BLOCK>PLOT,,,G72-01-2-3,,12.0,20.0,"REPLICATE>BLOCK>PLOT:G72-01-2-3,REPLICATE>BLOCK:11,REPLICATE:2",rainfed,1773.7896494157,240.6570588235,"71,7553055814","80,2021890789",4.26875,185,230,105,"-8,44688349750",2012,,,,,,,,,,,
44,G72-01-1-3,3352495,Gai12,127402,https://doi.org/10.15454/5GN11W,Oh43_H,Biogemma Gaillac 2012,REPLICATE>BLOCK>PLOT,,,G72-01-1-3,,5.0,2.0,"REPLICATE>BLOCK>PLOT:G72-01-1-3,REPLICATE>BLOCK:17,REPLICATE:1",rainfed,1375.4045307443,251.9258823529,"63,3048330487","81,6621384111",3.465,170,210,105,"-18,35730536240",2012,,,,,,,,,,,
45,3003water_regimewatered,3337065,Gai12,127402,https://doi.org/10.15454/5GN11W,Oh43_H,Biogemma Gaillac 2012,VIRTUAL_TRIAL,,,,,,,,watered,317.8031795005,67.1172941935,67.9291328495,247.9008994835,4511.2026113352,302.1632232959,119.8183294539,,,2012,17.8436906098,18.1387878788,16.9818724562,266.106,264.091,941.231,-20.6216666667,-9.6847222222,26.605628079,27.2907028414,25.3381821444
46,3003water_regimerainfed,3336819,Gai12,127402,https://doi.org/10.15454/5GN11W,Oh43_H,Biogemma Gaillac 2012,VIRTUAL_TRIAL,,,,,,,,rainfed,305.555334967,67.311254532,79.1448598913,169.9291952569,1500.9646915,202.7157970595,101.6910464198,,,2012,,,,,,,,,,,
47,G72-02-2-4,3352513,Gai12,127403,https://doi.org/10.15454/EW2AP2,W64A_H,Biogemma Gaillac 2012,REPLICATE>BLOCK>PLOT,,,G72-02-2-4,,10.0,26.0,"REPLICATE>BLOCK>PLOT:G72-02-2-4,REPLICATE>BLOCK:4,REPLICATE:2",watered,3833.6999022483,276.4105882353,"70,3468421086","70,3468421086",10.596752451,230,295,105,"0,00000000000",2012,,,,,,,,,,,
48,G72-02-1-4,3352511,Gai12,127403,https://doi.org/10.15454/EW2AP2,W64A_H,Biogemma Gaillac 2012,REPLICATE>BLOCK>PLOT,,,G72-02-1-4,,1.0,21.0,"REPLICATE>BLOCK>PLOT:G72-02-1-4,REPLICATE>BLOCK:3,REPLICATE:1",watered,4461.8621064061,NA,"64,7849117529","70,3468421086",NA,245,295,105,"-5,56193035570",2012,,,,,,,,,,,
49,G72-01-3-4,3352509,Gai12,127403,https://doi.org/10.15454/EW2AP2,W64A_H,Biogemma Gaillac 2012,REPLICATE>BLOCK>PLOT,,,G72-01-3-4,,20.0,13.0,"REPLICATE>BLOCK>PLOT:G72-01-3-4,REPLICATE>BLOCK:6,REPLICATE:3",rainfed,1398.0716253444,239.1529411765,"67,0282656168","78,9055366062",3.3435294118,150,205,95,"-11,87727098940",2012,,,,,,,,,,,
50,G72-01-2-4,3352507,Gai12,127403,https://doi.org/10.15454/EW2AP2,W64A_H,Biogemma Gaillac 2012,REPLICATE>BLOCK>PLOT,,,G72-01-2-4,,12.0,10.0,"REPLICATE>BLOCK>PLOT:G72-01-2-4,REPLICATE>BLOCK:10,REPLICATE:2",rainfed,1507.0921985816,241.1652941176,"69,1907382303","80,2021890789",3.6345833333,135,200,105,"-11,01145084860",2012,,,,,,,,,,,
51,G72-01-1-4,3352505,Gai12,127403,https://doi.org/10.15454/EW2AP2,W64A_H,Biogemma Gaillac 2012,REPLICATE>BLOCK>PLOT,,,G72-01-1-4,,4.0,2.0,"REPLICATE>BLOCK>PLOT:G72-01-1-4,REPLICATE>BLOCK:13,REPLICATE:1",rainfed,1503.1152647975,208.9647058824,"62,0608834049","68,1234868243",3.1409803922,170,220,105,"-6,06260341940",2012,,,,,,,,,,,
52,3004water_regimewatered,3337066,Gai12,127403,https://doi.org/10.15454/EW2AP2,W64A_H,Biogemma Gaillac 2012,VIRTUAL_TRIAL,,,,,,,,watered,321.8989515075,66.6504534662,69.4639151487,237.3559908304,4201.5706604159,293.3407079708,108.131454462,,,2012,18.0620686027,18.2560606061,16.9617715358,221.343,312.767,917.38,-21.0104166667,-9.2629310345,26.7233013355,27.325975712,25.3779956625
53,3004water_regimerainfed,3336820,Gai12,127403,https://doi.org/10.15454/EW2AP2,W64A_H,Biogemma Gaillac 2012,VIRTUAL_TRIAL,,,,,,,,rainfed,282.3856057416,65.8225030622,75.9488208891,151.480838535,1436.3770124516,204.4017479435,101.283672938,,,2012,,,,,,,,,,,
54,G72-02-2-5,3352523,Gai12,127404,https://doi.org/10.15454/YLEAQG,Oh33_H,Biogemma Gaillac 2012,REPLICATE>BLOCK>PLOT,,,G72-02-2-5,,18.0,12.0,"REPLICATE>BLOCK>PLOT:G72-02-2-5,REPLICATE>BLOCK:34,REPLICATE:2",watered,4504.5045045045,239.6294117647,"64,7849117529","64,7849117529",10.7941176471,240,275,110,"0,00000000000",2012,,,,,,,,,,,
55,G72-02-1-5,3352521,Gai12,127404,https://doi.org/10.15454/YLEAQG,Oh33_H,Biogemma Gaillac 2012,REPLICATE>BLOCK>PLOT,,,G72-02-1-5,,5.0,24.0,"REPLICATE>BLOCK>PLOT:G72-02-1-5,REPLICATE>BLOCK:20,REPLICATE:1",watered,5367.975734355,221.6964705882,"65,9788172736","64,7849117529",11.9006127451,240,315,120,"1,19390552070",2012,,,,,,,,,,,
56,G72-01-3-5,3352519,Gai12,127404,https://doi.org/10.15454/YLEAQG,Oh33_H,Biogemma Gaillac 2012,REPLICATE>BLOCK>PLOT,,,G72-01-3-5,,23.0,27.0,"REPLICATE>BLOCK>PLOT:G72-01-3-5,REPLICATE>BLOCK:20,REPLICATE:3",rainfed,629.9496040317,184.1105882353,"67,0282656168",NA,1.1598039216,170,205,90,,2012,,,,,,,,,,,
57,G72-01-2-5,3352517,Gai12,127404,https://doi.org/10.15454/YLEAQG,Oh33_H,Biogemma Gaillac 2012,REPLICATE>BLOCK>PLOT,,,G72-01-2-5,,14.0,11.0,"REPLICATE>BLOCK>PLOT:G72-01-2-5,REPLICATE>BLOCK:18,REPLICATE:2",rainfed,476.1904761905,181.4647058824,"68,1234868243","81,6621384111",0.8641176471,155,210,105,"-13,53865158680",2012,,,,,,,,,,,
58,G72-01-1-5,3352515,Gai12,127404,https://doi.org/10.15454/YLEAQG,Oh33_H,Biogemma Gaillac 2012,REPLICATE>BLOCK>PLOT,,,G72-01-1-5,,1.0,19.0,"REPLICATE>BLOCK>PLOT:G72-01-1-5,REPLICATE>BLOCK:3,REPLICATE:1",rainfed,486.6180048662,229.5152941176,"71,7553055814","78,9055366062",1.1168627451,155,210,105,"-7,15023102480",2012,,,,,,,,,,,
59,3005water_regimewatered,3337067,Gai12,127404,https://doi.org/10.15454/YLEAQG,Oh33_H,Biogemma Gaillac 2012,VIRTUAL_TRIAL,,,,,,,,watered,264.5626785868,65.7008040747,64.716339289,251.9418188915,4942.2918507062,299.6215651713,113.4439306341,,,2012,18.0388325563,17.8377134986,17.1584154292,264.524,232.603,1015.171,-22.240530303,-9.5997474747,26.7374728205,27.014947452,25.5973498716
60,3005water_regimerainfed,3336821,Gai12,127404,https://doi.org/10.15454/YLEAQG,Oh33_H,Biogemma Gaillac 2012,VIRTUAL_TRIAL,,,,,,,,rainfed,237.3732526524,69.0552164575,80.1860475091,159.2326447117,565.1749073632,203.4014704659,97.9803510396,,,2012,,,,,,,,,,,
61,G72-02-2-6,3352533,Gai12,127405,https://doi.org/10.15454/FLE1RA,EZ47_H,Biogemma Gaillac 2012,REPLICATE>BLOCK>PLOT,,,G72-02-2-6,,15.0,27.0,"REPLICATE>BLOCK>PLOT:G72-02-2-6,REPLICATE>BLOCK:24,REPLICATE:2",watered,3211.9283356907,291.1176470588,"64,7849117529","64,7849117529",9.3504901961,225,275,120,"0,00000000000",2012,,,,,,,,,,,
62,G72-02-1-6,3352531,Gai12,127405,https://doi.org/10.15454/FLE1RA,EZ47_H,Biogemma Gaillac 2012,REPLICATE>BLOCK>PLOT,,,G72-02-1-6,,8.0,5.0,"REPLICATE>BLOCK>PLOT:G72-02-1-6,REPLICATE>BLOCK:29,REPLICATE:1",watered,3200.6517690875,299.8776470588,"63,3048330487","63,3048330487",9.5980392157,220,295,100,"0,00000000000",2012,,,,,,,,,,,
63,G72-01-3-6,3352529,Gai12,127405,https://doi.org/10.15454/FLE1RA,EZ47_H,Biogemma Gaillac 2012,REPLICATE>BLOCK>PLOT,,,G72-01-3-6,,27.0,14.0,"REPLICATE>BLOCK>PLOT:G72-01-3-6,REPLICATE>BLOCK:34,REPLICATE:3",rainfed,375.3753753754,222.9794117647,"64,7849117529","77,7660082737",0.8370098039,155,180,75,"-12,98109652080",2012,,,,,,,,,,,
