,observationunitname,observationunitdbid,studydbid,germplasmdbid,germplasmpui,germplasmname,studyname,observationlevel,replicate,replicate.1,plot,plant,x,y,observationlevels,water_regime,GN,KW,MFLW_D20deg,FFLW_D20deg,GY_Adj_tha,plant_height,tassel_height,ear_height,ASI_D20deg,season,Tnight_Early,Tnight_Flo,Tnight_Fill,Ri_Early,Ri_Flo,Ri_Fill,Psi_Flo,Psi_Fill,Tmax_Early,Tmax_Flo,Tmax_Fill,TnbL,L10,L12,W10,W12,Check
24,213001,3346000,Cam12,127400,https://doi.org/10.15454/P5UIAJ,B73_H,Syngenta Campagnola 2012,REPLICATE>BLOCK>PLOT,,,213001.0,,10.0,17.0,"REPLICATE>BLOCK>PLOT:213001,REPLICATE>BLOCK:3,REPLICATE:1",rainfed,NA,NA,"68,9320610081","81,5768017006",2.3315953937,120,150,70,"-12,64474069250",2012,,,,,,,,,,,,,,,,,
25,233001,3345731,Cam12,127400,https://doi.org/10.15454/P5UIAJ,B73_H,Syngenta Campagnola 2012,REPLICATE>BLOCK>PLOT,,,233001.0,,2.0,35.0,"REPLICATE>BLOCK>PLOT:233001,REPLICATE>BLOCK:5,REPLICATE:3",rainfed,NA,NA,"70,4966242956","81,5768017006",2.0000896359,150,175,75,"-11,08017740500",2012,,,,,,,,,,,,,,,,,
26,5,3345685,Cam12,127400,https://doi.org/10.15454/P5UIAJ,B73_H,Syngenta Campagnola 2012,REPLICATE>BLOCK>PLOT>PLANT,,,,5.0,,,"REPLICATE>BLOCK>PLOT>PLANT:5,REPLICATE>BLOCK>PLOT:233901,REPLICATE>BLOCK:9,REPLICATE:1,REPLICATE:2,REPLICATE:3",rainfed,,,,,,,,,,2012,,,,,,,,,,,,16,70,70,7,7,Yes
27,9,3345689,Cam12,127400,https://doi.org/10.15454/P5UIAJ,B73_H,Syngenta Campagnola 2012,REPLICATE>BLOCK>PLOT>PLANT,,,,9.0,,,"REPLICATE>BLOCK>PLOT>PLANT:9,REPLICATE>BLOCK>PLOT:233901,REPLICATE>BLOCK:9,REPLICATE:1,REPLICATE:2,REPLICATE:3",rainfed,,,,,,,,,,2012,,,,,,,,,,,,16,65,65,7.5,7.5,Yes
28,1,3345678,Cam12,127400,https://doi.org/10.15454/P5UIAJ,B73_H,Syngenta Campagnola 2012,REPLICATE>BLOCK>PLOT>PLANT,,,,1.0,,,"REPLICATE>BLOCK>PLOT>PLANT:1,REPLICATE>BLOCK>PLOT:233901,REPLICATE>BLOCK:9,REPLICATE:1,REPLICATE:2,REPLICATE:3",rainfed,,,,,,,,,,2012,,,,,,,,,,,,16,70,70,7.5,7.5,Yes
29,7,3345687,Cam12,127400,https://doi.org/10.15454/P5UIAJ,B73_H,Syngenta Campagnola 2012,REPLICATE>BLOCK>PLOT>PLANT,,,,7.0,,,"REPLICATE>BLOCK>PLOT>PLANT:7,REPLICATE>BLOCK>PLOT:233901,REPLICATE>BLOCK:9,REPLICATE:1,REPLICATE:2,REPLICATE:3",rainfed,,,,,,,,,,2012,,,,,,,,,,,,16,70,70,7.5,7.5,Yes
30,4,3345684,Cam12,127400,https://doi.org/10.15454/P5UIAJ,B73_H,Syngenta Campagnola 2012,REPLICATE>BLOCK>PLOT>PLANT,,,,4.0,,,"REPLICATE>BLOCK>PLOT>PLANT:4,REPLICATE>BLOCK>PLOT:233901,REPLICATE>BLOCK:9,REPLICATE:1,REPLICATE:2,REPLICATE:3",rainfed,,,,,,,,,,2012,,,,,,,,,,,,16,70,70,7.5,7.5,Yes
31,8,3345688,Cam12,127400,https://doi.org/10.15454/P5UIAJ,B73_H,Syngenta Campagnola 2012,REPLICATE>BLOCK>PLOT>PLANT,,,,8.0,,,"REPLICATE>BLOCK>PLOT>PLANT:8,REPLICATE>BLOCK>PLOT:233901,REPLICATE>BLOCK:9,REPLICATE:1,REPLICATE:2,REPLICATE:3",rainfed,,,,,,,,,,2012,,,,,,,,,,,,16,60,65,8,7.5,Yes
32,6,3345686,Cam12,127400,https://doi.org/10.15454/P5UIAJ,B73_H,Syngenta Campagnola 2012,REPLICATE>BLOCK>PLOT>PLANT,,,,6.0,,,"REPLICATE>BLOCK>PLOT>PLANT:6,REPLICATE>BLOCK>PLOT:233901,REPLICATE>BLOCK:9,REPLICATE:1,REPLICATE:2,REPLICATE:3",rainfed,,,,,,,,,,2012,,,,,,,,,,,,16,70,70,7.5,7,Yes
33,10,3345690,Cam12,127400,https://doi.org/10.15454/P5UIAJ,B73_H,Syngenta Campagnola 2012,REPLICATE>BLOCK>PLOT>PLANT,,,,10.0,,,"REPLICATE>BLOCK>PLOT>PLANT:10,REPLICATE>BLOCK>PLOT:233901,REPLICATE>BLOCK:9,REPLICATE:1,REPLICATE:2,REPLICATE:3",rainfed,,,,,,,,,,2012,,,,,,,,,,,,16,70,70,7,7.5,Yes
34,2,3345682,Cam12,127400,https://doi.org/10.15454/P5UIAJ,B73_H,Syngenta Campagnola 2012,REPLICATE>BLOCK>PLOT>PLANT,,,,2.0,,,"REPLICATE>BLOCK>PLOT>PLANT:2,REPLICATE>BLOCK>PLOT:233901,REPLICATE>BLOCK:9,REPLICATE:1,REPLICATE:2,REPLICATE:3",rainfed,,,,,,,,,,2012,,,,,,,,,,,,16,75,70,8,7.5,Yes
35,3,3345683,Cam12,127400,https://doi.org/10.15454/P5UIAJ,B73_H,Syngenta Campagnola 2012,REPLICATE>BLOCK>PLOT>PLANT,,,,3.0,,,"REPLICATE>BLOCK>PLOT>PLANT:3,REPLICATE>BLOCK>PLOT:233901,REPLICATE>BLOCK:9,REPLICATE:1,REPLICATE:2,REPLICATE:3",rainfed,,,,,,,,,,2012,,,,,,,,,,,,16,70,70,7.5,7.5,Yes
36,5,3345672,Cam12,127400,https://doi.org/10.15454/P5UIAJ,B73_H,Syngenta Campagnola 2012,REPLICATE>BLOCK>PLOT>PLANT,,,,5.0,,,"REPLICATE>BLOCK>PLOT>PLANT:5,REPLICATE>BLOCK>PLOT:223901,REPLICATE>BLOCK:26,REPLICATE:1,REPLICATE:2,REPLICATE:2,REPLICATE:3",rainfed,,,,,,,,,,2012,,,,,,,,,,,,16,75,75,8,7.5,Yes
37,9,3345676,Cam12,127400,https://doi.org/10.15454/P5UIAJ,B73_H,Syngenta Campagnola 2012,REPLICATE>BLOCK>PLOT>PLANT,,,,9.0,,,"REPLICATE>BLOCK>PLOT>PLANT:9,REPLICATE>BLOCK>PLOT:223901,REPLICATE>BLOCK:26,REPLICATE:1,REPLICATE:2,REPLICATE:2,REPLICATE:3",rainfed,,,,,,,,,,2012,,,,,,,,,,,,16,75,70,8,7,Yes
38,1,3345665,Cam12,127400,https://doi.org/10.15454/P5UIAJ,B73_H,Syngenta Campagnola 2012,REPLICATE>BLOCK>PLOT>PLANT,,,,1.0,,,"REPLICATE>BLOCK>PLOT>PLANT:1,REPLICATE>BLOCK>PLOT:223901,REPLICATE>BLOCK:26,REPLICATE:1,REPLICATE:2,REPLICATE:2,REPLICATE:3",rainfed,,,,,,,,,,2012,,,,,,,,,,,,16,75,70,8,7,Yes
39,7,3345674,Cam12,127400,https://doi.org/10.15454/P5UIAJ,B73_H,Syngenta Campagnola 2012,REPLICATE>BLOCK>PLOT>PLANT,,,,7.0,,,"REPLICATE>BLOCK>PLOT>PLANT:7,REPLICATE>BLOCK>PLOT:223901,REPLICATE>BLOCK:26,REPLICATE:1,REPLICATE:2,REPLICATE:2,REPLICATE:3",rainfed,,,,,,,,,,2012,,,,,,,,,,,,16,75,70,8,7,Yes
40,4,3345671,Cam12,127400,https://doi.org/10.15454/P5UIAJ,B73_H,Syngenta Campagnola 2012,REPLICATE>BLOCK>PLOT>PLANT,,,,4.0,,,"REPLICATE>BLOCK>PLOT>PLANT:4,REPLICATE>BLOCK>PLOT:223901,REPLICATE>BLOCK:26,REPLICATE:1,REPLICATE:2,REPLICATE:2,REPLICATE:3",rainfed,,,,,,,,,,2012,,,,,,,,,,,,16,80,70,8,7,Yes
