,observationunitname,observationunitdbid,studydbid,germplasmdbid,germplasmpui,germplasmname,studyname,observationlevel,replicate,replicate.1,plot,plant,x,y,observationlevels,water_regime,GN,KW,MFLW_D20deg,FFLW_D20deg,GY_Adj_tha,plant_height,tassel_height,ear_height,ASI_D20deg,season,Tnight_Early,Tnight_Flo,Tnight_Fill,Ri_Early,Ri_Flo,Ri_Fill,Psi_Flo,Psi_Fill,Tmax_Early,Tmax_Flo,Tmax_Fill,TnbL,L10,L12,L14,W10,W12,W14,L9,L11,L13,W9,W11,W13,L8,W8,L15,W15
976,3135water_regimerainfed,3339468,Mar13,127529,https://doi.org/10.15454/Y8KSIC,F04402_H,MTA_ATK Martonvasar 2013,VIRTUAL_TRIAL,,,,,,,,rainfed,361.88590296,67.6442198165,69.5315138024,236.2992320766,2588.3311418496,260.2237506448,107.5556448968,,,2013,17.1684111111,17.6419444444,17.1194329004,269.346,240.343,1237.466,-189.9798222437,-168.9549203715,32.3226149075,33.5560312143,31.3401842187,,,,,,,,,,,,,,,,,
977,3135water_regimewatered,3339714,Mar13,127529,https://doi.org/10.15454/Y8KSIC,F04402_H,MTA_ATK Martonvasar 2013,VIRTUAL_TRIAL,,,,,,,,watered,407.2765197523,69.4995951696,66.8772448754,262.4771338779,2921.645719835,289.3391465271,121.9628745015,,,2013,17.1684111111,17.4780701754,17.5244980104,269.346,188.434,1275.896,-114.6539885204,-95.0850957572,32.3226149075,33.4947993292,31.7986263337,,,,,,,,,,,,,,,,,
978,437,3343380,Mar13,127530,https://doi.org/10.15454/2BEETM,F04701_H,MTA_ATK Martonvasar 2013,REPLICATE>BLOCK>PLOT,,,437.0,,15.0,17.0,"REPLICATE>BLOCK>PLOT:437,REPLICATE>BLOCK:27,REPLICATE:2",watered,3250.3488835726,330,"71,6416376017","70,3112532024",10.7261513158,280,315,126,"1,33038439930",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,
979,976,3342924,Mar13,127530,https://doi.org/10.15454/2BEETM,F04701_H,MTA_ATK Martonvasar 2013,REPLICATE>BLOCK>PLOT,,,976.0,,20.0,19.0,"REPLICATE>BLOCK>PLOT:976,REPLICATE>BLOCK:32,REPLICATE:2",rainfed,2276.5140814464,346,"68,9775284053","73,0115533369",7.8767387218,244,267,110,"-4,03402493160",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,
980,1067,3342505,Mar13,127530,https://doi.org/10.15454/2BEETM,F04701_H,MTA_ATK Martonvasar 2013,REPLICATE>BLOCK>PLOT,,,1067.0,,9.0,24.0,"REPLICATE>BLOCK>PLOT:1067,REPLICATE>BLOCK:9,REPLICATE:3",rainfed,2919.6849730458,318,"67,6265019604","71,6416376017",9.2845982143,245,277,103,"-4,01513564130",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,
981,639,3342452,Mar13,127530,https://doi.org/10.15454/2BEETM,F04701_H,MTA_ATK Martonvasar 2013,REPLICATE>BLOCK>PLOT,,,639.0,,8.0,13.0,"REPLICATE>BLOCK>PLOT:639,REPLICATE>BLOCK:20,REPLICATE:1",rainfed,2261.3960426768,321,"68,9775284053","73,0115533369",7.259081297,235,270,110,"-4,03402493160",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,
982,155,3343272,Mar13,127530,https://doi.org/10.15454/2BEETM,F04701_H,MTA_ATK Martonvasar 2013,REPLICATE>BLOCK>PLOT,,,155.0,,11.0,8.0,"REPLICATE>BLOCK>PLOT:155,REPLICATE>BLOCK:23,REPLICATE:1",watered,2245.5799929154,329,"70,3112532024","71,6416376017",7.3879581767,280,310,130,"-1,33038439930",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,
983,3136water_regimewatered,3339715,Mar13,127530,https://doi.org/10.15454/2BEETM,F04701_H,MTA_ATK Martonvasar 2013,VIRTUAL_TRIAL,,,,,,,,watered,329.6946251496,70.9110419386,70.9072218897,279.6034370622,2744.0644652311,312.1565441421,127.7188401015,,,2013,17.1684111111,17.6304232804,16.9531991342,269.346,212.517,1224.884,-113.8798237213,-93.7577279961,32.3226149075,33.641747763,31.1753947275,,,,,,,,,,,,,,,,,
984,3136water_regimerainfed,3339469,Mar13,127530,https://doi.org/10.15454/2BEETM,F04701_H,MTA_ATK Martonvasar 2013,VIRTUAL_TRIAL,,,,,,,,rainfed,328.5149954434,68.4647999612,72.6037253521,241.647521384,2227.2780449652,271.3668219407,107.1861081864,,,2013,17.1684111111,17.8137681159,16.4252626263,269.346,318.012,1173.688,-195.3234440226,-165.3944995561,32.3226149075,33.9236665607,30.748052032,,,,,,,,,,,,,,,,,
985,841,3342647,Mar13,127531,https://doi.org/10.15454/G6TRI1,F04702_H,MTA_ATK Martonvasar 2013,REPLICATE>BLOCK>PLOT,,,841.0,,13.0,8.0,"REPLICATE>BLOCK>PLOT:841,REPLICATE>BLOCK:13,REPLICATE:1,REPLICATE:2,REPLICATE:1,REPLICATE:3",rainfed,2592.6482168259,370,"66,1421419741","68,9775284053",9.5927984023,233,263,92,"-2,83538643120",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,
986,83,3343310,Mar13,127531,https://doi.org/10.15454/G6TRI1,F04702_H,MTA_ATK Martonvasar 2013,REPLICATE>BLOCK>PLOT,,,83.0,,12.0,2.0,"REPLICATE>BLOCK>PLOT:83,REPLICATE>BLOCK:12,REPLICATE:1",watered,3096.4564188248,324,"71,6416376017","70,3112532024",10.032518797,264,298,118,"1,33038439930",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,
987,1044,3342389,Mar13,127531,https://doi.org/10.15454/G6TRI1,F04702_H,MTA_ATK Martonvasar 2013,REPLICATE>BLOCK>PLOT,,,1044.0,,6.0,28.0,"REPLICATE>BLOCK>PLOT:1044,REPLICATE>BLOCK:6,REPLICATE:3",rainfed,2386.5755205709,373,"67,6265019604","68,9775284053",8.9019266917,233,265,89,"-1,35102644490",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,
988,531,3342280,Mar13,127531,https://doi.org/10.15454/G6TRI1,F04702_H,MTA_ATK Martonvasar 2013,REPLICATE>BLOCK>PLOT,,,531.0,,4.0,2.0,"REPLICATE>BLOCK>PLOT:531,REPLICATE>BLOCK:4,REPLICATE:1",rainfed,2368.168851136,368,"66,1421419741","68,9775284053",8.7148613722,228,262,84,"-2,83538643120",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,
989,465,3343476,Mar13,127531,https://doi.org/10.15454/G6TRI1,F04702_H,MTA_ATK Martonvasar 2013,REPLICATE>BLOCK>PLOT,,,465.0,,19.0,17.0,"REPLICATE>BLOCK>PLOT:465,REPLICATE>BLOCK:31,REPLICATE:2",watered,3047.8272544716,322,"73,0115533369","71,6416376017",9.8140037594,261,292,121,"1,36991573520",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,
990,3137water_regimewatered,3339716,Mar13,127531,https://doi.org/10.15454/G6TRI1,F04702_H,MTA_ATK Martonvasar 2013,VIRTUAL_TRIAL,,,,,,,,watered,323.0762296887,72.268805242,70.952360002,262.7082713034,3093.9273919298,295.3508665923,118.8634930978,,,2013,17.2268171296,17.5457070707,16.7807617845,249.226,185.47,1224.884,-113.0048176407,-93.7203413598,32.4289390289,33.465797228,31.1176476499,,,,,,,,,,,,,,,,,
991,3137water_regimerainfed,3339470,Mar13,127531,https://doi.org/10.15454/G6TRI1,F04702_H,MTA_ATK Martonvasar 2013,VIRTUAL_TRIAL,,,,,,,,rainfed,369.6470901406,66.7286505021,68.9060698776,232.1121047473,2387.1803397333,263.3194646911,88.5754685382,,,2013,17.2268171296,17.5526455026,17.2951381462,249.226,264.582,1237.466,-187.9332901492,-168.3603952321,32.4289390289,33.3757838228,31.4035171712,,,,,,,,,,,,,,,,,
992,770,3342679,Mar13,127532,https://doi.org/10.15454/LT9EBP,F05101_H,MTA_ATK Martonvasar 2013,REPLICATE>BLOCK>PLOT,,,770.0,,14.0,1.0,"REPLICATE>BLOCK>PLOT:770,REPLICATE>BLOCK:2,REPLICATE:1,REPLICATE:2,REPLICATE:3",rainfed,2360.4774560574,302,"66,1421419741","70,3112532024",7.1286419173,215,245,96,"-4,16911122830",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,
993,89,3343037,Mar13,127532,https://doi.org/10.15454/LT9EBP,F05101_H,MTA_ATK Martonvasar 2013,REPLICATE>BLOCK>PLOT,,,89.0,,1.0,12.0,"REPLICATE>BLOCK>PLOT:89,REPLICATE>BLOCK:13,REPLICATE:1,REPLICATE:2,REPLICATE:1,REPLICATE:3",watered,3070.570736984,318,"64,6062487951","64,6062487951",9.7644149436,218,250,99,"0,00000000000",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,
994,1192,3342512,Mar13,127532,https://doi.org/10.15454/LT9EBP,F05101_H,MTA_ATK Martonvasar 2013,REPLICATE>BLOCK>PLOT,,,1192.0,,9.0,30.0,"REPLICATE>BLOCK>PLOT:1192,REPLICATE>BLOCK:27,REPLICATE:3",rainfed,3291.9449852309,280,"66,1421419741","70,3112532024",9.2174459586,219,245,99,"-4,16911122830",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,
995,723,3342460,Mar13,127532,https://doi.org/10.15454/LT9EBP,F05101_H,MTA_ATK Martonvasar 2013,REPLICATE>BLOCK>PLOT,,,723.0,,8.0,20.0,"REPLICATE>BLOCK>PLOT:723,REPLICATE>BLOCK:32,REPLICATE:1",rainfed,3215.0057603687,279,"67,6265019604","71,6416376017",8.9698660714,211,241,93,"-4,01513564130",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,
996,329,3343560,Mar13,127532,https://doi.org/10.15454/LT9EBP,F05101_H,MTA_ATK Martonvasar 2013,REPLICATE>BLOCK>PLOT,,,329.0,,23.0,7.0,"REPLICATE>BLOCK>PLOT:329,REPLICATE>BLOCK:11,REPLICATE:2",watered,4118.1511432854,316,"66,1421419741","66,1421419741",13.0133576128,219,254,102,"0,00000000000",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,
997,3138water_regimewatered,3339717,Mar13,127532,https://doi.org/10.15454/LT9EBP,F05101_H,MTA_ATK Martonvasar 2013,VIRTUAL_TRIAL,,,,,,,,watered,316.9273299661,65.2968424107,65.3486615417,218.9698099427,3753.4998188719,251.7883647754,101.4201397105,,,2013,17.2521376812,17.3152777778,17.7125910621,226.16,241.328,1298.492,-110.3866019998,-96.7489727482,32.3074397376,33.4545774209,31.9358854646,,,,,,,,,,,,,,,,,
998,3138water_regimerainfed,3339471,Mar13,127532,https://doi.org/10.15454/LT9EBP,F05101_H,MTA_ATK Martonvasar 2013,VIRTUAL_TRIAL,,,,,,,,rainfed,286.9751744448,66.6917096883,70.8417443712,214.8356603456,2666.4165060174,243.3049150679,96.0156382987,,,2013,17.2521376812,17.5065217391,16.9531991342,226.16,291.055,1210.993,-187.5427189723,-167.8591520174,32.3074397376,33.542215728,31.1753947275,,,,,,,,,,,,,,,,,
999,448,3343392,Mar13,127533,https://doi.org/10.15454/PQQBMH,F05404_H,MTA_ATK Martonvasar 2013,REPLICATE>BLOCK>PLOT,,,448.0,,16.0,15.0,"REPLICATE>BLOCK>PLOT:448,REPLICATE>BLOCK:28,REPLICATE:2",watered,4541.8801540141,310,"67,6265019604","66,1421419741",14.0798284774,260,290,121,"1,48435998630",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000,125,3343158,Mar13,127533,https://doi.org/10.15454/PQQBMH,F05404_H,MTA_ATK Martonvasar 2013,REPLICATE>BLOCK>PLOT,,,125.0,,6.0,9.0,"REPLICATE>BLOCK>PLOT:125,REPLICATE>BLOCK:18,REPLICATE:1",watered,4681.5619276557,312,"67,6265019604","66,1421419741",14.6064732143,260,289,109,"1,48435998630",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001,987,3342950,Mar13,127533,https://doi.org/10.15454/PQQBMH,F05404_H,MTA_ATK Martonvasar 2013,REPLICATE>BLOCK>PLOT,,,987.0,,21.0,21.0,"REPLICATE>BLOCK>PLOT:987,REPLICATE>BLOCK:33,REPLICATE:2",rainfed,3413.8866441806,321,"67,6265019604","73,0115533369",10.9585761278,222,254,81,"-5,38505137650",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002,1027,3342267,Mar13,127533,https://doi.org/10.15454/PQQBMH,F05404_H,MTA_ATK Martonvasar 2013,REPLICATE>BLOCK>PLOT,,,1027.0,,3.0,26.0,"REPLICATE>BLOCK>PLOT:1027,REPLICATE>BLOCK:3,REPLICATE:3",rainfed,3372.4797982501,281,"67,6265019604","71,6416376017",9.4766682331,217,251,76,"-4,01513564130",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1003,752,3342619,Mar13,127533,https://doi.org/10.15454/PQQBMH,F05404_H,MTA_ATK Martonvasar 2013,REPLICATE>BLOCK>PLOT,,,752.0,,12.0,19.0,"REPLICATE>BLOCK>PLOT:752,REPLICATE>BLOCK:36,REPLICATE:1",rainfed,3695.8407724998,299,"68,9775284053","71,6416376017",11.0505639098,215,247,79,"-2,66410919640",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1004,3139water_regimewatered,3339718,Mar13,127533,https://doi.org/10.15454/PQQBMH,F05404_H,MTA_ATK Martonvasar 2013,VIRTUAL_TRIAL,,,,,,,,watered,310.3723958774,67.6641911876,66.221965037,259.3093320233,4531.0580702305,289.1147821365,116.4659254691,,,2013,17.2268171296,17.3505847953,17.5440389186,249.226,193.208,1298.492,-111.4999059956,-96.8342769973,32.4289390289,33.3614802993,31.8134872521,,,,,,,,,,,,,,,,,
1005,3139water_regimerainfed,3339472,Mar13,127533,https://doi.org/10.15454/PQQBMH,F05404_H,MTA_ATK Martonvasar 2013,VIRTUAL_TRIAL,,,,,,,,rainfed,299.7192074255,68.1373435413,72.0912265836,217.5230752397,3527.1186434601,250.7517520686,78.8460811423,,,2013,17.2268171296,17.5920289855,16.5486349607,249.226,292.64,1171.278,-191.5522814681,-167.2929686522,32.4289390289,33.582381768,30.938950204,,,,,,,,,,,,,,,,,
1006,286,3343415,Mar13,127534,https://doi.org/10.15454/AIXVTG,F608_H,MTA_ATK Martonvasar 2013,REPLICATE>BLOCK>PLOT,,,286.0,,17.0,6.0,"REPLICATE>BLOCK>PLOT:286,REPLICATE>BLOCK:5,REPLICATE:2",watered,3105.751156738,325,"71,6416376017","70,3112532024",10.0936912594,246,272,104,"1,33038439930",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007,123,3343156,Mar13,127534,https://doi.org/10.15454/AIXVTG,F608_H,MTA_ATK Martonvasar 2013,REPLICATE>BLOCK>PLOT,,,123.0,,6.0,11.0,"REPLICATE>BLOCK>PLOT:123,REPLICATE>BLOCK:18,REPLICATE:1",watered,2647.8703993781,324,"70,3112532024","71,6416376017",8.579100094,246,280,94,"-1,33038439930",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1008,1000,3342997,Mar13,127534,https://doi.org/10.15454/AIXVTG,F608_H,MTA_ATK Martonvasar 2013,REPLICATE>BLOCK>PLOT,,,1000.0,,23.0,20.0,"REPLICATE>BLOCK>PLOT:1000,REPLICATE>BLOCK:35,REPLICATE:2",rainfed,2793.7914870859,239,"68,9775284053","70,3112532024",6.6771616541,251,281,123,"-1,33372479710",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1009,1259,3342873,Mar13,127534,https://doi.org/10.15454/AIXVTG,F608_H,MTA_ATK Martonvasar 2013,REPLICATE>BLOCK>PLOT,,,1259.0,,18.0,30.0,"REPLICATE>BLOCK>PLOT:1259,REPLICATE>BLOCK:36,REPLICATE:3",rainfed,2315.3047480907,254,"68,9775284053","70,3112532024",5.8808740602,254,288,116,"-1,33372479710",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1010,557,3342442,Mar13,127534,https://doi.org/10.15454/AIXVTG,F608_H,MTA_ATK Martonvasar 2013,REPLICATE>BLOCK>PLOT,,,557.0,,8.0,4.0,"REPLICATE>BLOCK>PLOT:557,REPLICATE>BLOCK:8,REPLICATE:1",rainfed,4208.0690006266,240,"68,9775284053","70,3112532024",10.0993656015,255,285,115,"-1,33372479710",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011,3140water_regimewatered,3339719,Mar13,127534,https://doi.org/10.15454/AIXVTG,F608_H,MTA_ATK Martonvasar 2013,VIRTUAL_TRIAL,,,,,,,,watered,324.2480926088,71.0248888382,70.9784333595,245.871121556,2855.4772551812,276.6815779792,98.0361303873,,,2013,17.3491183575,17.4914351852,16.7807617845,206.799,212.517,1210.993,-110.8057330622,-93.7203413598,32.353323651,33.5688643362,31.1176476499,,,,,,,,,,,,,,,,,
1012,3140water_regimerainfed,3339473,Mar13,127534,https://doi.org/10.15454/AIXVTG,F608_H,MTA_ATK Martonvasar 2013,VIRTUAL_TRIAL,,,,,,,,rainfed,244.8468692134,69.0242012114,70.3155577171,253.679946555,2973.8774764382,284.5524203711,118.1172014233,,,2013,17.3491183575,17.4914351852,16.9531991342,206.799,239.446,1210.993,-185.0618000856,-167.8591520174,32.353323651,33.5688643362,31.1753947275,,,,,,,,,,,,,,,,,
1013,367,3343420,Mar13,127535,https://doi.org/10.15454/UUGPLJ,F618_H,MTA_ATK Martonvasar 2013,REPLICATE>BLOCK>PLOT,,,367.0,,17.0,10.0,"REPLICATE>BLOCK>PLOT:367,REPLICATE>BLOCK:17,REPLICATE:2",watered,3381.1012935299,304,"64,6062487951","66,1421419741",10.2785479323,280,313,133,"-1,53589317900",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1014,649,3342491,Mar13,127535,https://doi.org/10.15454/UUGPLJ,F618_H,MTA_ATK Martonvasar 2013,REPLICATE>BLOCK>PLOT,,,649.0,,9.0,12.0,"REPLICATE>BLOCK>PLOT:649,REPLICATE>BLOCK:21,REPLICATE:1,REPLICATE:2,REPLICATE:3",rainfed,2929.3995371164,307,"67,6265019604","71,6416376017",8.9932565789,221,249,80,"-4,01513564130",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1015,213,3343187,Mar13,127535,https://doi.org/10.15454/UUGPLJ,F618_H,MTA_ATK Martonvasar 2013,REPLICATE>BLOCK>PLOT,,,213.0,,7.0,17.0,"REPLICATE>BLOCK>PLOT:213,REPLICATE>BLOCK:31,REPLICATE:1",watered,4260.7092178977,306,"64,6062487951","66,1421419741",13.0377702068,275,310,125,"-1,53589317900",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1016,789,3342804,Mar13,127535,https://doi.org/10.15454/UUGPLJ,F618_H,MTA_ATK Martonvasar 2013,REPLICATE>BLOCK>PLOT,,,789.0,,17.0,5.0,"REPLICATE>BLOCK>PLOT:789,REPLICATE>BLOCK:5,REPLICATE:2",rainfed,2082.6575006064,310,"67,6265019604","73,0115533369",6.4562382519,221,256,78,"-5,38505137650",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1017,1055,3342427,Mar13,127535,https://doi.org/10.15454/UUGPLJ,F618_H,MTA_ATK Martonvasar 2013,REPLICATE>BLOCK>PLOT,,,1055.0,,7.0,26.0,"REPLICATE>BLOCK>PLOT:1055,REPLICATE>BLOCK:7,REPLICATE:3",rainfed,3485.4308294698,313,"67,6265019604","71,6416376017",10.9093984962,227,261,84,"-4,01513564130",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1018,3141water_regimerainfed,3339474,Mar13,127535,https://doi.org/10.15454/UUGPLJ,F618_H,MTA_ATK Martonvasar 2013,VIRTUAL_TRIAL,,,,,,,,rainfed,310.471875361,67.7693582066,72.2254579814,223.1945757447,2649.5612979937,255.0898357632,80.4717367293,,,2013,17.3064015152,17.5651709402,16.5486349607,187.496,292.64,1185.169,-184.327991334,-167.2929686522,32.2568803099,33.7028870335,30.938950204,,,,,,,,,,,,,,,,,
1019,3141water_regimewatered,3339720,Mar13,127535,https://doi.org/10.15454/UUGPLJ,F618_H,MTA_ATK Martonvasar 2013,VIRTUAL_TRIAL,,,,,,,,watered,305.0581812648,64.2763127951,66.0961399711,277.6478427587,3773.826268442,311.8896981437,128.7208826898,,,2013,17.3064015152,17.3517676768,17.5440389186,187.496,260.859,1284.601,-107.8470963007,-96.8342769973,32.2568803099,33.5340185407,31.8134872521,,,,,,,,,,,,,,,,,
1020,444,3343388,Mar13,127536,https://doi.org/10.15454/ML81EC,F7019_H,MTA_ATK Martonvasar 2013,REPLICATE>BLOCK>PLOT,,,444.0,,16.0,19.0,"REPLICATE>BLOCK>PLOT:444,REPLICATE>BLOCK:28,REPLICATE:2",watered,3173.1788867729,304,"66,1421419741","66,1421419741",9.6464638158,269,297,125,"0,00000000000",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1021,119,3343135,Mar13,127536,https://doi.org/10.15454/ML81EC,F7019_H,MTA_ATK Martonvasar 2013,REPLICATE>BLOCK>PLOT,,,119.0,,5.0,14.0,"REPLICATE>BLOCK>PLOT:119,REPLICATE>BLOCK:17,REPLICATE:1",watered,2983.3285255217,303,"64,6062487951","67,6265019604",9.0394854323,258,290,131,"-3,02025316530",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1022,880,3342850,Mar13,127536,https://doi.org/10.15454/ML81EC,F7019_H,MTA_ATK Martonvasar 2013,REPLICATE>BLOCK>PLOT,,,880.0,,18.0,10.0,"REPLICATE>BLOCK>PLOT:880,REPLICATE>BLOCK:18,REPLICATE:2",rainfed,1381.0086502664,309,"63,2119003379","67,6265019604",4.2673167293,217,237,110,"-4,41460162250",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1023,1107,3342743,Mar13,127536,https://doi.org/10.15454/ML81EC,F7019_H,MTA_ATK Martonvasar 2013,REPLICATE>BLOCK>PLOT,,,1107.0,,15.0,22.0,"REPLICATE>BLOCK>PLOT:1107,REPLICATE>BLOCK:15,REPLICATE:3",rainfed,1343.188998555,307,"64,6062487951","66,1421419741",4.1235902256,210,231,108,"-1,53589317900",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1024,746,3342578,Mar13,127536,https://doi.org/10.15454/ML81EC,F7019_H,MTA_ATK Martonvasar 2013,REPLICATE>BLOCK>PLOT,,,746.0,,11.0,18.0,"REPLICATE>BLOCK>PLOT:746,REPLICATE>BLOCK:35,REPLICATE:1",rainfed,2922.280524817,301,"63,2119003379","67,6265019604",8.7960643797,212,243,110,"-4,41460162250",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1025,3142water_regimewatered,3339721,Mar13,127536,https://doi.org/10.15454/ML81EC,F7019_H,MTA_ATK Martonvasar 2013,VIRTUAL_TRIAL,,,,,,,,watered,303.6763065849,65.4095247192,66.9210143147,263.0970122501,2978.0480656072,292.4454719527,127.8418591691,,,2013,17.3491183575,17.3472222222,17.5244980104,206.799,263.924,1262.005,-111.194867147,-95.0850957572,32.353323651,33.4353285591,31.7986263337,,,,,,,,,,,,,,,,,
1026,3142water_regimerainfed,3339475,Mar13,127536,https://doi.org/10.15454/ML81EC,F7019_H,MTA_ATK Martonvasar 2013,VIRTUAL_TRIAL,,,,,,,,rainfed,305.2488062508,63.8560306067,67.1198470972,212.5102371263,1858.8954379109,237.2280146436,109.2840367911,,,2013,17.3491183575,17.3472222222,17.5050609031,206.799,283.455,1262.005,-181.3606708642,-169.4172766192,32.353323651,33.4353285591,31.6608951613,,,,,,,,,,,,,,,,,
1027,3143water_regimewatered,3339722,Mar13,127537,https://doi.org/10.15454/QPSSQO,F7058_H,MTA_ATK Martonvasar 2013,VIRTUAL_TRIAL,,,,,,,,watered,271.8086363125,69.1278856143,72.3186280551,255.7746202937,3670.0954553536,288.1502328682,124.3086227833,,,2013,17.3405902778,17.5525462963,16.5486349607,228.449,265.27,1199.06,-109.290091151,-94.9980633243,32.429509429,33.6507584747,30.938950204,,,,,,,,,,,,,,,,,
1028,3143water_regimerainfed,3339476,Mar13,127537,https://doi.org/10.15454/QPSSQO,F7058_H,MTA_ATK Martonvasar 2013,VIRTUAL_TRIAL,,,,,,,,rainfed,301.8837954331,63.1918891991,67.6354807211,211.0760814591,2498.5652281094,241.2107800676,80.7840385788,,,2013,17.3405902778,17.3568783069,17.5050609031,228.449,307.835,1248.114,-183.9016234915,-169.4172766192,32.429509429,33.3997831417,31.6608951613,,,,,,,,,,,,,,,,,
1029,441,3343384,Mar13,127537,https://doi.org/10.15454/QPSSQO,F7058_H,MTA_ATK Martonvasar 2013,REPLICATE>BLOCK>PLOT,,,441.0,,15.0,21.0,"REPLICATE>BLOCK>PLOT:441,REPLICATE>BLOCK:27,REPLICATE:2",watered,3136.2084539972,283,"68,9775284053","73,0115533369",8.8754699248,251,284,127,"-4,03402493160",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1030,21,3343079,Mar13,127537,https://doi.org/10.15454/QPSSQO,F7058_H,MTA_ATK Martonvasar 2013,REPLICATE>BLOCK>PLOT,,,21.0,,3.0,7.0,"REPLICATE>BLOCK>PLOT:21,REPLICATE>BLOCK:3,REPLICATE:1",watered,4192.9673944477,260,"68,9775284053","71,6416376017",10.9017152256,260,293,122,"-2,66410919640",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1031,980,3342919,Mar13,127537,https://doi.org/10.15454/QPSSQO,F7058_H,MTA_ATK Martonvasar 2013,REPLICATE>BLOCK>PLOT,,,980.0,,20.0,15.0,"REPLICATE>BLOCK>PLOT:980,REPLICATE>BLOCK:32,REPLICATE:2",rainfed,2379.1287348273,306,"63,2119003379","67,6265019604",7.2801339286,215,245,81,"-4,41460162250",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1032,1072,3342549,Mar13,127537,https://doi.org/10.15454/QPSSQO,F7058_H,MTA_ATK Martonvasar 2013,REPLICATE>BLOCK>PLOT,,,1072.0,,10.0,28.0,"REPLICATE>BLOCK>PLOT:1072,REPLICATE>BLOCK:10,REPLICATE:3",rainfed,2652.3522271422,343,"63,2119003379","67,6265019604",9.0975681391,206,238,81,"-4,41460162250",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1033,698,3342297,Mar13,127537,https://doi.org/10.15454/QPSSQO,F7058_H,MTA_ATK Martonvasar 2013,REPLICATE>BLOCK>PLOT,,,698.0,,4.0,17.0,"REPLICATE>BLOCK>PLOT:698,REPLICATE>BLOCK:28,REPLICATE:1",rainfed,3075.563369631,261,"63,2119003379","67,6265019604",8.0272203947,213,240,80,"-4,41460162250",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1034,899,3342938,Mar13,127538,https://doi.org/10.15454/7L8N8B,F7057_H,MTA_ATK Martonvasar 2013,REPLICATE>BLOCK>PLOT,,,899.0,,21.0,10.0,"REPLICATE>BLOCK>PLOT:899,REPLICATE>BLOCK:21,REPLICATE:1,REPLICATE:2,REPLICATE:3",rainfed,2455.4850135543,294,"63,2119003379","67,6265019604",7.2191259398,212,247,94,"-4,41460162250",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1035,347,3343349,Mar13,127538,https://doi.org/10.15454/7L8N8B,F7057_H,MTA_ATK Martonvasar 2013,REPLICATE>BLOCK>PLOT,,,347.0,,14.0,11.0,"REPLICATE>BLOCK>PLOT:347,REPLICATE>BLOCK:14,REPLICATE:2",watered,3250.7220628325,342,"68,9775284053","70,3112532024",11.1174694549,247,279,115,"-1,33372479710",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,
